Year,Popularity,Vote_Count,Vote_Average,IMDb_Rating
1972,6.822,75,6.8,7.2
2019,45.996,12542,8.0,8.2
2019,45.996,12542,8.0,8.2
2019,45.996,12542,8.0,8.2
2019,45.996,12542,8.0,8.2
1979,15.193,623,5.8,5.8
1979,13.362,519,7.1,7.4
1979,13.362,519,7.1,7.4
1986,18.674,1909,6.4,6.6
1986,10.99,93,7.1,7.4
1957,78.749,8835,8.546,9.0
1957,78.749,8835,8.546,9.0
1995,38.23,8428,7.598,8.0
2013,42.437,11319,7.936,8.1
2013,42.437,11319,7.936,8.1
2013,42.437,11319,7.936,8.1
2013,42.437,11319,7.936,8.1
2013,42.437,11319,7.936,8.1
2013,42.437,11319,7.936,8.1
2010,34.335,7568,7.082,7.5
2010,34.335,7568,7.082,7.5
2010,34.335,7568,7.082,7.5
1968,56.902,11648,8.1,8.3
1968,56.902,11648,8.1,8.3
2016,13.604,1141,7.3,7.3
2003,13.24,3136,7.3,7.6
2003,13.24,3136,7.3,7.6
1932,10.489,183,6.9,7.3
2015,8.879,737,6.6,7.1
1927,8.146,96,7.4,7.5
1927,8.146,96,7.4,7.5
1927,8.146,96,7.4,7.5
2019,16.172,1623,7.0,7.2
2001,47.709,10276,7.858,8.2
2001,47.709,10276,7.858,8.2
2001,47.709,10276,7.858,8.2
2001,47.709,10276,7.858,8.2
2001,47.709,10276,7.858,8.2
2011,15.591,227,7.192,7.2
1998,17.076,440,6.461,6.6
1998,17.076,440,6.461,6.6
1971,40.699,12967,8.188,8.3
1971,40.699,12967,8.188,8.3
2024,110.006,220,7.266,7.8
2024,110.006,220,7.266,7.8
2024,110.006,220,7.266,7.8
2024,110.006,220,7.266,7.8
2024,110.006,220,7.266,7.8
2024,110.006,220,7.266,7.8
1988,10.327,211,6.7,6.9
1947,4.947,67,6.3,7.0
1947,4.947,67,6.3,7.0
1947,4.947,67,6.3,7.0
1989,8.663,104,6.7,7.0
1932,9.265,137,6.2,6.4
1932,9.265,137,6.2,6.4
1957,9.7,48,5.7,5.9
1992,37.115,3675,7.5,7.7
1992,37.115,3675,7.5,7.7
1988,19.306,2179,7.203,7.5
1988,19.306,2179,7.203,7.5
1988,19.306,2179,7.203,7.5
1948,10.437,146,7.1,7.3
1930,4.926,42,6.1,6.6
1930,4.926,42,6.1,6.6
1930,4.926,42,6.1,6.6
1964,13.887,682,7.3,7.5
1957,2.641,24,6.8,7.2
2005,28.079,3282,7.2,7.4
2005,28.079,3282,7.2,7.4
1949,6.812,157,7.207,7.7
1949,6.812,157,7.207,7.7
1995,17.91,976,7.636,7.6
1979,5.958,71,6.803,7.5
1961,1.405,15,5.7,6.7
1966,7.687,274,7.3,7.5
1966,7.687,274,7.3,7.5
1966,7.687,274,7.3,7.5
1955,1.91,15,6.4,7.1
1966,10.687,440,7.327,7.7
1966,10.687,440,7.327,7.7
1966,10.687,440,7.327,7.7
