IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.3,7.2,109.0,7.2,False,False,False,False,False,False,False,False,True,0.0
8.6,73.675,16003.0,8.2,False,False,False,False,False,True,False,False,False,0.0
7.7,27.233,8314.0,7.278,False,False,True,False,False,False,False,False,False,0.0
9.0,112.575,12647.0,8.6,False,False,False,False,False,False,True,False,False,0.0
7.8,23.922,1630.0,7.489,False,False,False,False,False,False,True,False,False,1.0
7.0,4.49,74.0,6.508,True,False,False,False,False,False,False,False,False,
7.8,36.351,4704.0,7.562,False,True,False,False,False,False,False,False,False,0.0
7.3,10.171,271.0,6.779,False,False,False,False,False,False,True,False,False,0.0
6.7,1.292,5.0,4.8,False,False,False,False,False,True,False,False,False,
6.8,12.783,251.0,6.311,False,False,False,False,False,True,False,False,False,1.0
7.5,11.208,244.0,7.115,False,False,False,False,False,False,False,False,True,0.0
6.9,6.527,61.0,6.6,False,False,False,False,False,False,False,False,True,
7.7,23.087,4270.0,7.7,False,False,False,False,False,True,False,False,False,0.0
7.6,16.537,615.0,7.4,False,False,False,False,False,False,False,True,False,1.0
7.6,9.731,632.0,7.5,False,False,False,False,False,False,False,True,False,0.0
8.0,16.526,2305.0,8.1,False,False,False,False,True,False,False,False,False,0.0
7.5,8.272,250.0,7.3,False,False,True,False,False,False,False,False,False,1.0
7.5,7.088,69.0,6.268,False,False,False,True,False,False,False,False,False,0.0
7.5,28.98,5649.0,7.3,False,False,False,False,False,True,False,False,False,1.0
6.0,0.803,14.0,5.7,False,True,False,False,False,False,False,False,False,1.0
7.2,8.837,48.0,7.0,True,False,False,False,False,False,False,False,False,
8.0,18.296,834.0,7.722,False,False,False,False,False,False,False,True,False,
6.9,9.145,144.0,6.5,False,False,False,True,False,False,False,False,False,
7.1,20.851,3005.0,6.9,False,False,False,False,False,False,False,False,True,0.0
7.1,6.52,63.0,6.5,True,False,False,False,False,False,False,False,False,0.0
6.5,3.639,32.0,5.8,False,False,False,False,False,False,True,False,False,1.0
8.6,55.887,13162.0,8.448,False,False,False,False,False,False,True,False,False,0.0
7.6,10.635,637.0,7.3,False,False,False,True,False,False,False,False,False,0.0
7.8,41.875,6878.0,7.597,False,False,False,False,True,False,False,False,False,
8.3,29.384,2631.0,7.992,False,False,False,True,False,False,False,False,False,
7.4,17.956,1168.0,7.056,False,False,False,False,True,False,False,False,False,0.0
8.0,8.041,110.0,7.005,False,False,False,False,False,False,True,False,False,0.0
7.5,9.717,263.0,7.243,False,False,False,True,False,False,False,False,False,0.0
8.4,17.546,1432.0,8.211,False,False,False,False,True,False,False,False,False,
8.0,74.069,18212.0,7.532,False,False,False,False,True,False,False,False,False,
5.6,4.232,15.0,5.5,False,True,False,False,False,False,False,False,False,0.0
7.5,28.98,5649.0,7.3,False,False,False,False,True,False,False,False,False,0.0
6.7,10.568,314.0,6.293,False,False,False,False,False,False,False,False,True,0.0
7.8,29.493,2076.0,7.5,False,False,False,False,False,True,False,False,False,0.0
6.5,14.773,732.0,6.349,False,True,False,False,False,False,False,False,False,0.0
7.7,18.841,1943.0,7.528,True,False,False,False,False,False,False,False,False,1.0
7.9,40.297,9640.0,8.015,False,False,False,False,False,False,True,False,False,0.0
7.0,22.718,435.0,6.99,False,False,False,False,False,False,True,False,False,1.0
6.6,12.75,456.0,6.534,False,False,False,False,False,False,False,True,False,0.0
7.8,14.668,927.0,7.5,False,False,False,False,True,False,False,False,False,0.0
6.7,2.999,21.0,5.1,False,False,False,False,False,False,False,True,False,0.0
6.7,1.097,14.0,6.0,False,True,False,False,False,False,False,False,False,1.0
8.3,130.743,9735.0,8.072,False,False,False,False,False,False,False,True,False,1.0
7.7,24.545,3800.0,7.39,False,True,False,False,False,False,False,False,False,0.0
7.0,3.589,28.0,6.4,False,False,False,False,False,False,False,False,True,0.0
7.0,2.581,26.0,6.4,True,False,False,False,False,False,False,False,False,0.0
7.2,3.285,11.0,6.5,False,False,True,False,False,False,False,False,False,0.0
7.5,23.555,2525.0,7.648,False,False,False,False,False,False,True,False,False,0.0
8.2,47.709,10276.0,7.858,True,False,False,False,False,False,False,False,False,0.0
6.9,3.934,31.0,6.5,False,False,False,True,False,False,False,False,False,1.0
8.0,15.8,1876.0,8.073,False,False,False,False,False,True,False,False,False,0.0
6.8,15.078,1615.0,6.681,False,False,False,True,False,False,False,False,False,0.0
6.6,6.402,70.0,6.207,False,False,False,True,False,False,False,False,False,1.0
6.9,4.252,27.0,6.5,False,False,False,False,True,False,False,False,False,0.0
6.7,1.405,15.0,5.7,False,False,False,True,False,False,False,False,False,1.0
7.4,12.37,169.0,6.9,False,True,False,False,False,False,False,False,False,1.0
7.2,7.55,88.0,6.807,False,False,False,False,False,True,False,False,False,0.0
7.4,8.808,158.0,7.0,False,False,True,False,False,False,False,False,False,0.0
7.3,13.291,136.0,6.688,True,False,False,False,False,False,False,False,False,0.0
