Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1972,Best Cinematography,1776,tt0068156,"Harry Stradling, Jr.",False,14902,6.822,75,6.8,,Peter H. Hunt,7.2
2019,Best Cinematography,1917,tt8579674,Roger Deakins,True,530915,45.996,12542,8.0,,Sam Mendes,8.2
2019,Best Director,1917,tt8579674,Sam Mendes,False,530915,45.996,12542,8.0,,Sam Mendes,8.2
2019,Best Picture,1917,tt8579674,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",False,530915,45.996,12542,8.0,,Sam Mendes,8.2
2019,Best Original Screenplay,1917,tt8579674,Written by Sam Mendes & Krysty Wilson-Cairns,False,530915,45.996,12542,8.0,,Sam Mendes,8.2
1979,Best Cinematography,1941,tt0078723,William A. Fraker,False,11519,15.193,623,5.8,,Steven Spielberg,5.8
1979,Best Actor,...And Justice for All,tt0078718,Al Pacino,False,17443,13.362,519,7.1,,Norman Jewison,7.4
1979,Best Original Screenplay,...And Justice for All,tt0078718,"Valerie Curtin, Barry Levinson",False,17443,13.362,519,7.1,,Norman Jewison,7.4
1986,Best Original Screenplay,'Crocodile' Dundee,tt0090555,"Screenplay by Paul Hogan, Ken Shadie, John Cornell; Story by Paul Hogan",False,9671,18.674,1909,6.4,,Peter Faiman,6.6
1986,Best Actor,'Round Midnight,tt0090557,Dexter Gordon,False,14670,10.99,93,7.1,,Bertrand Tavernier,7.4
1957,Best Director,12 Angry Men,tt0050083,Sidney Lumet,False,389,78.749,8835,8.546,,Sidney Lumet,9.0
1957,Best Picture,12 Angry Men,tt0050083,"Henry Fonda and Reginald Rose, Producers",False,389,78.749,8835,8.546,,Sidney Lumet,9.0
1995,Best Supporting Actor,12 Monkeys,tt0114746,Brad Pitt,False,63,38.23,8428,7.598,,Terry Gilliam,8.0
2013,Best Actor,12 Years a Slave,tt2024544,Chiwetel Ejiofor,False,76203,42.437,11319,7.936,,Steve McQueen,8.1
2013,Best Supporting Actor,12 Years a Slave,tt2024544,Michael Fassbender,False,76203,42.437,11319,7.936,,Steve McQueen,8.1
2013,Best Supporting Actress,12 Years a Slave,tt2024544,Lupita Nyong'o,True,76203,42.437,11319,7.936,,Steve McQueen,8.1
2013,Best Director,12 Years a Slave,tt2024544,Steve McQueen,False,76203,42.437,11319,7.936,,Steve McQueen,8.1
2013,Best Picture,12 Years a Slave,tt2024544,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",True,76203,42.437,11319,7.936,,Steve McQueen,8.1
2013,Best Adapted Screenplay,12 Years a Slave,tt2024544,Screenplay by John Ridley,True,76203,42.437,11319,7.936,,Steve McQueen,8.1
2010,Best Actor,127 Hours,tt1542344,James Franco,False,44115,34.335,7568,7.082,,Danny Boyle,7.5
2010,Best Picture,127 Hours,tt1542344,"Christian Colson, Danny Boyle and John Smithson, Producers",False,44115,34.335,7568,7.082,,Danny Boyle,7.5
2010,Best Adapted Screenplay,127 Hours,tt1542344,Screenplay by Danny Boyle & Simon Beaufoy,False,44115,34.335,7568,7.082,,Danny Boyle,7.5
1968,Best Director,2001: A Space Odyssey,tt0062622,Stanley Kubrick,False,62,56.902,11648,8.1,,Stanley Kubrick,8.3
1968,Best Original Screenplay,2001: A Space Odyssey,tt0062622,"Stanley Kubrick, Arthur C. Clarke",False,62,56.902,11648,8.1,,Stanley Kubrick,8.3
2016,Best Original Screenplay,20th Century Women,tt4385888,Written by Mike Mills,False,342737,13.604,1141,7.3,,Mike Mills,7.3
2003,Best Supporting Actor,21 Grams,tt0315733,Benicio Del Toro,False,470,13.24,3136,7.3,,Alejandro G. Iñárritu,7.6
2003,Best Actress,21 Grams,tt0315733,Naomi Watts,False,470,13.24,3136,7.3,,Alejandro G. Iñárritu,7.6
1932,Best Picture,42nd Street,tt0024034,Warner Bros.,False,3062,10.489,183,6.9,,Lloyd Bacon,7.3
2015,Best Actress,45 Years,tt3544082,Charlotte Rampling,False,311291,8.879,737,6.6,,Andrew Haigh,7.1
1927,Best Actress,7th Heaven,tt0018379,Janet Gaynor,True,82474,8.146,96,7.4,,Frank Borzage,7.5
1927,Best Director,7th Heaven,tt0018379,Frank Borzage,True,82474,8.146,96,7.4,,Frank Borzage,7.5
1927,Best Picture,7th Heaven,tt0018379,Fox,False,82474,8.146,96,7.4,,Frank Borzage,7.5
2019,Best Supporting Actor,A Beautiful Day in the Neighborhood,tt3224458,Tom Hanks,False,501907,16.172,1623,7.0,,Marielle Heller,7.2
2001,Best Actor,A Beautiful Mind,tt0268978,Russell Crowe,False,453,47.709,10276,7.858,,Ron Howard,8.2
2001,Best Supporting Actress,A Beautiful Mind,tt0268978,Jennifer Connelly,True,453,47.709,10276,7.858,,Ron Howard,8.2
2001,Best Director,A Beautiful Mind,tt0268978,Ron Howard,True,453,47.709,10276,7.858,,Ron Howard,8.2
2001,Best Picture,A Beautiful Mind,tt0268978,"Brian Grazer and Ron Howard, Producers",True,453,47.709,10276,7.858,,Ron Howard,8.2
2001,Best Adapted Screenplay,A Beautiful Mind,tt0268978,Written by Akiva Goldsman,True,453,47.709,10276,7.858,,Ron Howard,8.2
2011,Best Actor,A Better Life,tt1554091,Demián Bichir,False,55720,15.591,227,7.192,,Chris Weitz,7.2
1998,Best Supporting Actor,A Civil Action,tt0120633,Robert Duvall,False,9422,17.076,440,6.461,,Steven Zaillian,6.6
1998,Best Cinematography,A Civil Action,tt0120633,Conrad L. Hall,False,9422,17.076,440,6.461,,Steven Zaillian,6.6
1971,Best Director,A Clockwork Orange,tt0066921,Stanley Kubrick,False,185,40.699,12967,8.188,,Stanley Kubrick,8.3
1971,Best Picture,A Clockwork Orange,tt0066921,"Stanley Kubrick, Producer",False,185,40.699,12967,8.188,,Stanley Kubrick,8.3
2024,Best Actor,A Complete Unknown,tt11563598,Timothée Chalamet,False,661539,110.006,220,7.266,,James Mangold,7.8
2024,Best Supporting Actor,A Complete Unknown,tt11563598,Edward Norton,False,661539,110.006,220,7.266,,James Mangold,7.8
2024,Best Supporting Actress,A Complete Unknown,tt11563598,Monica Barbaro,False,661539,110.006,220,7.266,,James Mangold,7.8
2024,Best Director,A Complete Unknown,tt11563598,James Mangold,False,661539,110.006,220,7.266,,James Mangold,7.8
2024,Best Picture,A Complete Unknown,tt11563598,"Fred Berger, James Mangold and Alex Heineman, Producers",False,661539,110.006,220,7.266,,James Mangold,7.8
2024,Best Adapted Screenplay,A Complete Unknown,tt11563598,Screenplay by James Mangold and Jay Cocks,False,661539,110.006,220,7.266,,James Mangold,7.8
1988,Best Actress,A Cry in the Dark,tt0094924,Meryl Streep,False,35119,10.327,211,6.7,,Fred Schepisi,6.9
1947,Best Actor,A Double Life,tt0039335,Ronald Colman,True,41206,4.947,67,6.3,,George Cukor,7.0
1947,Best Director,A Double Life,tt0039335,George Cukor,False,41206,4.947,67,6.3,,George Cukor,7.0
1947,Best Original Screenplay,A Double Life,tt0039335,"Ruth Gordon, Garson Kanin",False,41206,4.947,67,6.3,,George Cukor,7.0
1989,Best Supporting Actor,A Dry White Season,tt0097243,Marlon Brando,False,32075,8.663,104,6.7,,Euzhan Palcy,7.0
1932,Best Cinematography,A Farewell to Arms,tt0022879,"Charles Bryant Lang, Jr.",True,22649,9.265,137,6.2,,Frank Borzage,6.4
1932,Best Picture,A Farewell to Arms,tt0022879,Paramount,False,22649,9.265,137,6.2,,Frank Borzage,6.4
1957,Best Supporting Actor,A Farewell to Arms,tt0050379,Vittorio De Sica,False,80255,9.7,48,5.7,,"Charles Vidor, John Huston",5.9
1992,Best Supporting Actor,A Few Good Men,tt0104257,Jack Nicholson,False,881,37.115,3675,7.5,,Rob Reiner,7.7
