IMDb_Rating,Popularity,Vote_Average,Category,Winner
7.3,7.2,7.2,6,1
8.6,73.7,8.2,3,0
7.7,27.2,7.3,7,1
9.0,112.6,8.6,2,1
7.8,23.9,7.5,2,0
7.0,4.5,6.5,4,0
7.8,36.4,7.6,8,1
7.3,10.2,6.8,2,0
6.7,1.3,4.8,3,0
6.8,12.8,6.3,3,0
7.5,11.2,7.1,6,0
6.9,6.5,6.6,6,0
7.7,23.1,7.7,3,0
7.6,16.5,7.4,5,0
7.6,9.7,7.5,5,0
8.0,16.5,8.1,1,0
7.5,8.3,7.3,7,0
7.5,7.1,6.3,0,1
7.5,29.0,7.3,3,1
6.0,0.8,5.7,8,0
7.2,8.8,7.0,4,0
8.0,18.3,7.7,5,0
6.9,9.1,6.5,0,0
7.1,20.9,6.9,6,1
7.1,6.5,6.5,4,0
6.5,3.6,5.8,2,0
8.6,55.9,8.4,2,0
7.6,10.6,7.3,0,1
7.8,41.9,7.6,1,0
8.3,29.4,8.0,0,0
7.4,18.0,7.1,1,0
8.0,8.0,7.0,2,0
7.5,9.7,7.2,0,0
8.4,17.5,8.2,1,0
8.0,74.1,7.5,1,1
5.6,4.2,5.5,8,0
7.5,29.0,7.3,1,1
6.7,10.6,6.3,6,0
7.8,29.5,7.5,3,0
6.5,14.8,6.3,8,0
7.7,18.8,7.5,4,0
7.9,40.3,8.0,2,0
7.0,22.7,7.0,2,0
6.6,12.8,6.5,5,0
7.8,14.7,7.5,1,0
6.7,3.0,5.1,5,0
6.7,1.1,6.0,8,0
8.3,130.7,8.1,5,1
7.7,24.5,7.4,8,1
7.0,3.6,6.4,6,0
7.0,2.6,6.4,4,0
7.2,3.3,6.5,7,0
7.5,23.6,7.6,2,0
8.2,47.7,7.9,4,0
6.9,3.9,6.5,0,0
8.0,15.8,8.1,3,0
6.8,15.1,6.7,0,1
6.6,6.4,6.2,0,0
6.9,4.3,6.5,1,0
6.7,1.4,5.7,0,0
7.4,12.4,6.9,8,0
7.2,7.6,6.8,3,0
7.4,8.8,7.0,7,0
7.3,13.3,6.7,4,1
7.2,6.6,6.9,6,0
7.8,23.9,7.5,4,0
7.6,18.9,7.3,0,1
6.7,2.9,5.9,8,0
8.5,148.8,8.2,0,0
8.2,29.6,8.0,5,0
6.8,4.0,6.5,6,0
7.3,13.2,6.9,4,0
7.5,6.7,6.9,4,0
6.5,4.0,6.4,0,0
6.9,8.4,6.3,5,1
7.3,13.0,6.9,0,1
7.2,10.6,7.0,0,0
7.3,13.3,6.7,1,0
7.8,19.9,7.4,2,0
7.1,11.2,7.3,5,0
7.0,11.0,6.4,6,0
7.4,20.4,6.9,4,0
7.3,6.9,7.0,5,1
6.7,9.4,6.6,4,0
7.9,135.3,7.6,2,0
7.0,19.4,6.7,4,0
7.6,34.6,7.6,8,0
6.9,11.5,6.7,3,0
6.6,3.7,6.4,2,0
7.5,20.8,7.5,7,1
7.6,5.4,7.2,0,0
7.1,17.7,6.7,7,0
7.4,17.0,7.2,5,0
7.8,22.1,7.7,6,0
7.6,18.9,7.3,2,1
6.3,10.9,6.1,0,0
6.7,1.1,5.6,8,0
6.8,3.0,6.8,4,0
7.5,6.7,6.9,1,0
7.0,9.8,6.6,5,1
8.1,14.8,7.8,4,0
8.0,675.2,6.9,2,0
8.3,19.7,8.0,8,0
7.8,36.4,7.6,2,0
7.3,10.8,7.1,1,0
6.4,4.7,6.2,4,0
7.0,10.1,6.5,4,0
8.2,44.1,7.9,0,1
8.2,47.7,7.9,7,1
7.8,12.8,7.4,0,1
6.3,4.8,6.1,7,0
8.0,73.1,7.9,4,0
7.4,8.2,7.1,6,0
7.1,6.5,7.0,4,0
8.1,63.9,8.3,2,0
7.0,9.3,6.7,1,0
7.5,19.3,7.2,1,0
6.7,4.1,5.6,3,0
8.1,63.9,8.3,4,0
7.0,7.3,6.7,4,0
7.9,9.7,7.6,8,1
8.3,10.9,8.1,3,0
7.2,17.1,7.0,1,0
7.3,21.0,7.3,1,0
7.4,8.2,7.1,2,0
8.3,81.8,8.2,1,0
7.0,4.7,6.7,0,0
6.8,1.4,6.9,4,1
7.3,13.0,7.0,4,1
7.6,9.2,7.0,5,0
8.3,18.0,7.9,3,0
7.7,54.0,7.4,1,0
7.2,19.5,7.1,6,0
6.2,6.9,5.8,7,0
7.0,22.7,7.0,0,0
8.0,12.2,7.5,6,0
7.6,4.8,6.7,5,0
7.6,9.2,7.0,6,0
6.6,3.3,6.7,0,0
8.7,40.8,8.4,0,0
7.2,8.9,7.0,8,0
7.0,68.9,6.9,4,0
7.3,8.9,7.2,8,1
7.3,8.7,7.1,6,0
8.0,675.2,6.9,8,0
7.0,23.6,6.6,7,0
7.8,29.5,7.5,1,0
6.8,0.8,5.4,4,0
6.7,8.9,6.4,7,0
7.3,5.2,6.6,6,0
7.5,15.5,7.2,7,0
6.8,8.2,6.0,0,1
8.6,47.0,8.4,0,0
7.5,14.4,7.1,7,1
8.6,55.9,8.4,3,0
7.7,60.8,7.5,4,0
7.2,12.7,6.7,4,1
6.8,3.5,6.6,2,0
8.0,43.9,7.8,4,1
7.8,20.3,7.4,2,0
6.4,6.3,6.2,8,0
7.3,10.4,7.0,5,0
6.7,8.9,6.4,4,0
7.3,13.0,6.9,6,1
8.5,148.8,8.2,2,1
7.7,26.4,7.4,6,0
6.6,8.7,5.9,1,0
6.6,13.4,6.4,6,1
7.7,23.9,7.5,3,0
8.4,61.2,8.3,5,0
7.2,33.1,7.1,2,0
7.8,53.2,7.6,5,0
8.0,43.6,7.8,2,1
6.4,8.8,6.0,5,0
7.8,14.3,7.3,4,0
7.4,8.9,7.0,3,0
8.0,23.6,8.1,6,0
7.8,23.6,7.6,0,0
7.9,17.5,7.7,5,0
7.0,5.1,6.9,6,1
8.2,17.7,8.1,6,0
7.0,3.3,6.4,6,0
8.4,84.4,8.1,3,0
7.2,25.9,6.9,5,0
7.3,14.4,7.0,2,0
8.1,19.7,8.0,2,0
7.5,9.5,7.2,1,0
7.8,23.9,7.5,1,0
6.4,7.4,6.3,0,0
7.7,20.5,7.8,6,0
7.6,13.3,7.3,7,0
8.0,10.3,7.8,1,0
8.2,32.0,8.1,6,0
7.6,10.6,7.3,6,1
7.0,7.8,6.0,4,0
7.3,6.2,7.0,2,0
7.3,17.4,6.8,2,0
8.0,10.3,7.8,3,0
8.6,55.9,8.4,4,1
7.4,14.3,7.6,5,1
6.2,4.7,6.2,8,0
7.2,5.3,6.7,1,0
7.3,8.9,7.2,6,0
6.3,1.5,6.5,4,0
6.6,15.9,6.7,6,0
7.0,5.5,6.1,0,0
7.1,6.1,6.3,4,0
7.1,3.8,6.3,6,0
