Popularity,Vote_Average,IMDb_Rating
7.2,7.2,7.3
73.7,8.2,8.6
27.2,7.3,7.7
112.6,8.6,9.0
23.9,7.5,7.8
4.5,6.5,7.0
36.4,7.6,7.8
10.2,6.8,7.3
1.3,4.8,6.7
12.8,6.3,6.8
11.2,7.1,7.5
6.5,6.6,6.9
23.1,7.7,7.7
16.5,7.4,7.6
9.7,7.5,7.6
16.5,8.1,8.0
8.3,7.3,7.5
7.1,6.3,7.5
29.0,7.3,7.5
0.8,5.7,6.0
8.8,7.0,7.2
18.3,7.7,8.0
9.1,6.5,6.9
20.9,6.9,7.1
6.5,6.5,7.1
3.6,5.8,6.5
55.9,8.4,8.6
10.6,7.3,7.6
41.9,7.6,7.8
29.4,8.0,8.3
18.0,7.1,7.4
8.0,7.0,8.0
9.7,7.2,7.5
17.5,8.2,8.4
74.1,7.5,8.0
4.2,5.5,5.6
29.0,7.3,7.5
10.6,6.3,6.7
29.5,7.5,7.8
14.8,6.3,6.5
18.8,7.5,7.7
40.3,8.0,7.9
22.7,7.0,7.0
12.8,6.5,6.6
14.7,7.5,7.8
3.0,5.1,6.7
1.1,6.0,6.7
130.7,8.1,8.3
24.5,7.4,7.7
3.6,6.4,7.0
2.6,6.4,7.0
3.3,6.5,7.2
23.6,7.6,7.5
47.7,7.9,8.2
3.9,6.5,6.9
15.8,8.1,8.0
15.1,6.7,6.8
6.4,6.2,6.6
4.3,6.5,6.9
1.4,5.7,6.7
12.4,6.9,7.4
7.6,6.8,7.2
8.8,7.0,7.4
13.3,6.7,7.3
6.6,6.9,7.2
23.9,7.5,7.8
18.9,7.3,7.6
2.9,5.9,6.7
148.8,8.2,8.5
29.6,8.0,8.2
4.0,6.5,6.8
13.2,6.9,7.3
6.7,6.9,7.5
4.0,6.4,6.5
8.4,6.3,6.9
13.0,6.9,7.3
10.6,7.0,7.2
13.3,6.7,7.3
19.9,7.4,7.8
11.2,7.3,7.1
11.0,6.4,7.0
20.4,6.9,7.4
6.9,7.0,7.3
9.4,6.6,6.7
135.3,7.6,7.9
19.4,6.7,7.0
34.6,7.6,7.6
11.5,6.7,6.9
3.7,6.4,6.6
20.8,7.5,7.5
5.4,7.2,7.6
17.7,6.7,7.1
17.0,7.2,7.4
22.1,7.7,7.8
18.9,7.3,7.6
10.9,6.1,6.3
1.1,5.6,6.7
3.0,6.8,6.8
6.7,6.9,7.5
9.8,6.6,7.0
14.8,7.8,8.1
675.2,6.9,8.0
19.7,8.0,8.3
36.4,7.6,7.8
10.8,7.1,7.3
4.7,6.2,6.4
10.1,6.5,7.0
44.1,7.9,8.2
47.7,7.9,8.2
12.8,7.4,7.8
4.8,6.1,6.3
73.1,7.9,8.0
8.2,7.1,7.4
6.5,7.0,7.1
63.9,8.3,8.1
9.3,6.7,7.0
19.3,7.2,7.5
4.1,5.6,6.7
63.9,8.3,8.1
7.3,6.7,7.0
9.7,7.6,7.9
10.9,8.1,8.3
17.1,7.0,7.2
21.0,7.3,7.3
8.2,7.1,7.4
81.8,8.2,8.3
4.7,6.7,7.0
1.4,6.9,6.8
13.0,7.0,7.3
9.2,7.0,7.6
18.0,7.9,8.3
54.0,7.4,7.7
19.5,7.1,7.2
6.9,5.8,6.2
22.7,7.0,7.0
12.2,7.5,8.0
4.8,6.7,7.6
9.2,7.0,7.6
3.3,6.7,6.6
40.8,8.4,8.7
8.9,7.0,7.2
68.9,6.9,7.0
8.9,7.2,7.3
8.7,7.1,7.3
675.2,6.9,8.0
23.6,6.6,7.0
29.5,7.5,7.8
0.8,5.4,6.8
8.9,6.4,6.7
5.2,6.6,7.3
15.5,7.2,7.5
8.2,6.0,6.8
47.0,8.4,8.6
14.4,7.1,7.5
55.9,8.4,8.6
60.8,7.5,7.7
12.7,6.7,7.2
3.5,6.6,6.8
43.9,7.8,8.0
20.3,7.4,7.8
6.3,6.2,6.4
10.4,7.0,7.3
8.9,6.4,6.7
13.0,6.9,7.3
148.8,8.2,8.5
26.4,7.4,7.7
8.7,5.9,6.6
13.4,6.4,6.6
23.9,7.5,7.7
61.2,8.3,8.4
33.1,7.1,7.2
53.2,7.6,7.8
43.6,7.8,8.0
8.8,6.0,6.4
14.3,7.3,7.8
8.9,7.0,7.4
23.6,8.1,8.0
23.6,7.6,7.8
17.5,7.7,7.9
5.1,6.9,7.0
17.7,8.1,8.2
3.3,6.4,7.0
84.4,8.1,8.4
25.9,6.9,7.2
14.4,7.0,7.3
19.7,8.0,8.1
9.5,7.2,7.5
23.9,7.5,7.8
7.4,6.3,6.4
20.5,7.8,7.7
13.3,7.3,7.6
10.3,7.8,8.0
32.0,8.1,8.2
10.6,7.3,7.6
7.8,6.0,7.0
6.2,7.0,7.3
17.4,6.8,7.3
10.3,7.8,8.0
55.9,8.4,8.6
14.3,7.6,7.4
4.7,6.2,6.2
5.3,6.7,7.2
8.9,7.2,7.3
1.5,6.5,6.3
15.9,6.7,6.6
5.5,6.1,7.0
6.1,6.3,7.1
3.8,6.3,7.1
35.7,7.5,7.7
12.2,7.6,7.9
14.7,7.5,7.8
6.1,6.8,7.2
11.0,7.7,7.4
20.2,7.5,7.7
13.5,6.5,7.1
41.9,7.6,7.8
9.0,7.7,8.1
3.7,6.3,7.0
6.6,6.3,7.0
56.5,7.9,8.3
32.5,7.4,7.5
191.4,5.6,8.1
19.3,7.2,7.4
13.2,6.7,7.1
19.0,8.3,8.6
45.4,7.8,7.6
19.7,6.9,6.9
17.9,7.0,7.4
10.5,6.9,7.3
9.6,6.9,7.2
5.4,5.2,6.4
10.0,6.5,7.2
7.9,7.5,7.9
20.9,6.9,7.1
21.9,7.3,7.5
16.9,7.4,7.5
44.5,7.7,8.1
25.3,8.3,8.4
8.1,7.4,7.5
50.9,7.8,7.7
18.3,6.8,7.3
167.6,8.4,8.9
13.4,7.7,7.9
191.4,5.6,8.1
38.4,8.3,8.6
4.2,6.7,7.1
56.1,7.4,7.8
51.1,7.1,6.6
81.4,8.1,8.3
23.5,7.2,7.3
3.9,6.3,6.7
8.9,6.4,6.7
7.5,6.4,6.7
12.8,6.3,6.7
16.7,6.8,6.5
8.1,6.4,6.6
9.5,6.9,7.2
13.5,7.0,7.0
7.1,6.5,7.0
81.8,8.2,8.3
147.7,7.8,8.1
9.7,7.2,7.5
7.9,6.9,7.3
3.9,6.7,7.6
32.0,8.1,8.2
3.6,5.8,6.3
6.0,7.2,7.5
28.6,7.5,7.9
10.2,6.8,7.2
18.1,7.5,7.8
11.4,6.6,7.0
7.8,7.1,7.8
3.9,6.3,6.7
40.1,8.1,8.2
23.6,7.6,7.5
38.4,7.1,7.7
15.6,7.1,7.1
30.9,7.9,8.1
18.5,7.4,7.5
63.2,7.4,7.8
8.5,7.6,8.1
1.4,5.7,6.1
40.8,8.4,8.7
17.3,7.7,7.9
18.5,7.6,8.0
19.0,7.7,8.0
18.5,7.5,7.6
14.8,7.0,7.5
14.9,7.5,7.5
3.7,6.5,6.7
