Category,Genres,Director,Popularity,Winner
7,88,282,8.8,True
1,77,431,15.9,False
3,23,599,12.8,False
3,83,479,85.7,True
8,95,268,5.4,False
8,225,378,18.1,False
5,131,606,0.9,False
4,218,145,61.7,False
4,73,64,10.5,False
4,212,208,5.9,True
4,74,150,63.2,False
6,74,150,15.1,False
6,76,496,19.9,False
8,94,143,12.9,False
6,222,218,17.3,False
1,74,694,30.2,True
4,102,525,19.8,False
6,95,579,63.7,False
6,203,36,50.9,False
0,225,121,33.4,False
8,95,239,9.3,False
5,88,764,8.9,False
2,70,680,20.8,True
4,203,205,8.1,True
1,81,372,50.9,True
3,3,13,74.1,True
5,134,430,8.5,False
8,155,614,18.5,False
0,95,679,13.9,False
3,193,218,11.4,False
4,97,278,11.8,False
4,134,364,7.3,True
7,223,276,9.7,True
2,102,618,1.1,False
1,175,208,1.9,False
0,149,256,60.8,False
7,19,116,146.9,True
3,34,99,3.0,False
6,29,241,13.4,False
7,149,557,15.6,True
6,76,695,24.2,False
8,80,597,11.0,False
0,80,483,5.6,False
3,19,116,146.9,False
3,56,734,77.9,False
2,196,199,17.2,False
6,3,36,25.4,False
4,79,641,47.7,True
3,2,74,11.4,False
8,217,145,13.0,False
1,134,129,12.4,False
4,178,538,6.1,False
4,149,659,3.8,False
4,223,218,8.9,False
0,165,757,4.9,False
5,140,91,62.3,True
6,103,2,33.1,False
7,76,667,20.6,False
0,102,326,20.4,False
0,95,569,63.9,False
2,102,18,14.4,True
6,51,485,2.8,False
7,19,760,20.2,False
3,178,272,3.4,False
0,77,640,64.8,True
4,140,134,25.7,False
5,3,121,29.5,False
5,76,667,20.6,False
6,149,488,18.5,False
6,212,42,21.6,True
1,77,408,5.3,False
0,71,592,19.0,False
7,3,13,74.1,False
1,203,704,3.0,False
5,102,632,55.9,False
5,214,675,18.0,True
6,76,695,20.9,False
5,53,127,9.8,False
6,149,703,57.8,False
0,203,36,50.9,False
5,177,716,63.9,False
7,30,440,2.3,False
2,76,59,27.2,True
1,76,374,9.0,False
8,198,460,56.7,False
4,3,754,8.7,False
2,44,290,20.4,False
3,212,491,31.1,False
8,149,581,8.6,False
1,203,547,8.8,True
8,149,187,5.3,False
3,134,200,47.0,False
8,51,364,8.5,False
4,139,628,18.9,True
7,35,401,8.0,True
1,212,268,10.4,True
2,74,487,13.5,False
5,220,315,13.2,False
5,149,50,18.0,False
6,95,430,13.6,False
1,95,320,14.8,False
0,225,474,14.3,False
1,124,594,2.8,False
1,142,350,30.9,True
8,90,557,10.9,False
2,95,711,9.3,False
3,203,391,6.3,False
7,168,72,24.3,False
6,203,673,7.1,False
5,142,155,21.9,False
4,76,508,14.3,False
6,77,705,18.5,False
1,152,764,10.6,False
8,149,467,8.1,False
3,221,410,29.0,False
3,142,263,22.9,False
0,149,174,2.2,False
0,177,191,6.9,False
5,125,300,11.5,False
4,74,77,9.7,False
2,134,675,8.8,False
5,149,18,14.7,False
3,163,617,45.1,False
7,166,564,51.1,False
1,203,762,9.0,True
4,149,18,14.7,False
1,95,278,3.8,False
3,193,745,2.0,False
0,77,370,7.3,False
6,156,231,19.2,True
0,142,247,4.2,False
1,76,104,12.6,False
0,95,439,8.4,False
4,149,467,8.1,False
2,149,550,40.1,False
6,102,740,10.2,False
6,203,585,9.5,False
5,102,332,3.6,False
2,74,554,35.7,False
4,71,2,13.6,False
3,3,762,57.2,True
5,210,569,19.9,True
2,142,192,78.8,True
5,177,695,21.2,False
1,191,83,38.2,False
5,102,131,23.5,False
7,46,564,167.6,False
6,46,63,12.6,False
5,44,259,7.5,False
7,74,334,24.9,True
0,95,473,23.9,False
0,178,697,2.6,False
0,76,592,18.5,True
7,95,473,23.9,False
0,77,58,48.1,False
7,73,475,41.9,False
4,99,136,95.6,True
7,143,482,3.3,True
8,95,382,11.4,False
5,90,614,3.5,False
0,141,517,13.0,False
8,186,482,11.2,False
3,233,266,1.9,False
8,203,762,7.9,False
0,76,264,9.9,True
5,203,522,34.0,False
2,46,36,44.5,False
6,3,301,21.9,False
7,102,448,11.5,False
6,76,592,18.5,True
0,76,186,10.5,False
8,203,210,3.3,False
3,78,282,5.4,False
3,3,99,8.1,False
2,95,88,4.8,False
0,76,24,88.5,False
6,98,374,20.9,True
7,46,206,13.5,False
6,55,416,43.6,True
4,95,198,11.4,False
6,203,100,41.3,False
3,116,106,6.5,False
3,44,380,9.1,False
3,121,242,4.9,False
8,149,509,8.7,False
5,149,271,1.3,False
3,76,65,23.1,True
3,212,117,4.7,False
7,178,538,6.1,False
7,125,659,5.6,False
4,149,654,16.9,False
7,149,508,18.3,False
4,149,186,6.3,False
8,140,675,29.2,True
6,212,218,10.6,True
7,149,315,8.0,True
4,102,550,23.6,False
3,217,56,13.3,False
7,76,695,108.1,False
3,203,276,2.2,False
1,223,741,9.5,True
7,74,475,27.6,False
4,156,96,17.3,True
3,3,609,148.8,False
6,54,275,4.7,False
7,71,2,13.6,False
7,149,550,24.7,False
4,149,186,18.2,False
4,193,108,5.3,False
3,102,364,15.6,True
2,203,428,15.1,False
3,156,242,6.7,False
3,149,84,191.4,False
4,102,72,22.9,True
6,136,491,9.7,False
0,76,218,10.7,True
4,191,491,4.3,False
0,153,206,38.4,False
6,225,121,33.4,True
1,177,302,39.7,False
2,71,499,11.3,False
1,149,90,4.4,False
8,95,278,3.8,False
8,149,471,6.4,False
6,149,656,33.1,True
3,203,621,11.8,False
5,167,263,62.8,False
7,134,159,25.9,False
3,76,212,9.6,False
3,172,394,10.6,False
6,196,21,21.2,True
4,141,452,10.2,False
3,202,509,40.8,False
3,158,117,7.2,False
6,157,659,3.6,False
2,149,662,10.7,False
8,203,740,8.3,True
7,75,491,8.9,False
1,79,276,9.2,True
3,9,380,8.9,False
5,138,675,11.0,False
7,80,700,16.0,False
1,81,345,13.0,False
8,217,370,10.3,False
1,77,487,11.6,True
0,222,218,17.3,True
3,140,85,16.1,False
7,55,364,23.6,True
8,152,764,10.6,False
5,102,525,19.8,True
3,8,316,79.0,False
7,142,339,7.4,False
0,76,394,29.7,False
6,5,316,135.3,False
1,194,375,15.7,False
0,51,370,15.3,True
6,203,231,6.9,False
6,149,557,15.6,False
6,109,625,36.4,False
2,196,685,41.7,False
7,19,148,28.1,False
6,48,638,18.4,False
8,186,482,11.2,False
8,88,0,3.5,False
4,113,15,6.7,False
3,80,482,3.9,False
0,149,329,6.1,False
4,48,638,18.4,False
1,74,328,19.2,False
8,149,394,17.7,False
3,30,768,10.6,False
4,225,245,18.9,True
7,75,464,16.2,False
3,203,54,16.8,False
8,218,3,24.7,False
0,149,364,14.8,False
8,149,84,191.4,False
1,76,83,14.8,False
1,80,338,7.1,False
6,99,435,7.7,True
5,142,137,54.3,False
7,102,159,38.4,False
1,102,72,22.9,False
4,223,490,29.0,True
8,149,329,6.1,False
7,95,679,13.9,True
7,126,240,15.7,False
1,80,597,11.0,False
5,90,591,91.7,False
6,149,432,21.0,False
6,78,745,13.0,False
7,156,525,19.0,False
3,74,77,9.7,False
0,223,373,8.8,False
3,178,181,67.8,True
7,203,527,5.1,False
0,149,84,191.4,False
3,212,218,10.6,True
4,76,496,19.9,False
1,76,128,10.4,False
0,218,631,28.3,False
4,113,748,9.5,False
7,177,1,24.4,False
0,73,675,18.8,False
4,23,609,54.0,False
0,198,724,23.6,False
7,203,47,16.6,False
1,188,240,7.2,True
7,76,667,20.6,True
0,75,491,8.9,True
7,76,121,18.0,False
6,223,490,29.0,True
8,71,131,23.4,True
3,149,292,11.7,True
4,161,198,16.5,False
3,4,768,8.7,False
3,125,245,5.4,False
6,212,153,28.6,False
3,77,268,5.5,True
0,71,519,11.8,False
7,102,267,9.0,False
8,183,624,8.5,False
6,227,384,675.2,False
6,77,58,48.1,False
1,203,672,4.0,False
5,102,611,34.3,False
8,74,328,19.2,False
8,48,659,11.1,True
0,168,623,9.2,True
6,102,206,12.2,False
5,74,531,11.3,False
1,43,609,34.6,False
5,149,186,6.3,False
8,203,635,12.8,False
0,76,638,19.8,False
4,74,344,14.7,False
7,102,320,10.7,False
7,103,641,14.8,True
0,102,320,24.5,True
0,102,474,5.5,False
3,149,524,0.3,False
0,140,725,17.1,False
0,95,678,34.2,False
8,140,725,17.1,True
3,31,451,2.0,False
4,217,623,13.2,False
6,102,513,8.0,False
3,91,610,19.5,False
7,76,692,42.4,False
6,203,205,8.1,False
6,193,273,7.6,True
4,149,281,1.1,False
8,77,370,7.3,False
4,202,292,8.7,False
7,156,231,19.2,False
3,76,286,11.4,False
4,106,444,8.0,False
3,230,760,69.7,False
0,95,88,22.0,False
3,194,536,29.2,False
8,203,762,6.6,False
2,90,312,307.8,False
6,80,700,16.0,True
3,83,218,13.1,False
3,142,720,81.4,False
8,77,745,2.9,False
3,193,511,1.6,False
3,203,25,3.3,False
6,149,570,6.1,False
8,13,159,25.3,False
7,71,203,14.4,False
3,85,279,1.3,False
1,71,762,8.9,True
7,95,239,9.3,False
8,101,613,14.6,False
4,149,330,4.4,False
2,73,64,10.5,False
0,80,402,10.0,False
1,36,175,10.5,False
7,203,631,127.9,False
8,134,621,29.4,False
5,231,390,59.7,True
3,203,627,3.9,False
3,29,369,23.7,True
3,170,373,8.5,True
6,142,405,52.1,False
1,136,72,20.0,False
2,210,186,8.7,False
5,203,463,10.9,False
8,212,469,3.1,False
1,192,629,11.8,True
5,57,695,50.3,False
6,102,435,6.2,False
7,78,627,5.8,False
4,83,533,16.8,True
