Winner,Category,Genres,Director,Vote_Count,Popularity
False,3,173,562,75,6.822
True,3,30,656,12542,45.996
False,4,30,656,12542,45.996
False,6,30,656,12542,45.996
False,5,30,656,12542,45.996
False,3,18,695,623,15.193
False,0,142,525,519,13.362
False,5,142,525,519,13.362
False,5,2,559,1909,18.674
False,0,188,67,93,10.99
False,4,134,675,8835,78.749
False,6,134,675,8835,78.749
False,7,239,710,8428,38.23
False,0,76,692,11319,42.437
False,7,76,692,11319,42.437
True,8,76,692,11319,42.437
False,4,76,692,11319,42.437
True,6,76,692,11319,42.437
True,2,76,692,11319,42.437
False,0,74,141,7568,34.335
False,6,74,141,7568,34.335
False,2,74,141,7568,34.335
False,4,63,684,11648,56.902
False,5,63,684,11648,56.902
False,5,95,506,1141,13.604
False,7,142,13,3136,13.24
False,1,142,13,3136,13.24
False,6,100,449,183,10.489
False,1,203,31,737,8.879
True,1,203,205,96,8.146
True,4,203,205,96,8.146
False,6,203,205,96,8.146
False,7,75,464,1623,16.172
False,0,79,641,10276,47.709
True,8,79,641,10276,47.709
True,4,79,641,10276,47.709
True,6,79,641,10276,47.709
True,2,79,641,10276,47.709
False,0,203,113,227,15.591
False,7,74,696,440,17.076
False,3,74,696,440,17.076
False,4,146,684,12967,40.699
False,6,146,684,12967,40.699
False,0,77,321,220,110.006
False,7,77,321,220,110.006
False,8,77,321,220,110.006
False,4,77,321,220,110.006
False,6,77,321,220,110.006
False,2,77,321,220,110.006
False,1,74,217,211,10.327
True,0,136,231,67,4.947
False,4,136,231,67,4.947
False,5,136,231,67,4.947
False,7,218,194,104,8.663
True,3,212,205,137,9.265
False,6,212,205,137,9.265
False,7,212,107,48,9.7
False,7,218,611,3675,37.115
False,6,218,611,3675,37.115
True,7,89,103,2179,19.306
False,4,89,103,2179,19.306
False,5,89,103,2179,19.306
False,3,102,72,146,10.437
True,0,141,117,42,4.926
False,1,141,117,42,4.926
False,4,141,117,42,4.926
False,5,115,601,682,13.887
False,0,149,218,24,2.641
False,7,19,148,3282,28.079
False,2,19,148,3282,28.079
True,4,102,394,157,6.812
False,6,102,394,157,6.812
False,3,153,19,976,17.91
False,2,40,239,71,5.958
False,3,125,482,15,1.405
False,1,209,119,274,7.687
False,4,209,119,274,7.687
True,5,209,119,274,7.687
False,3,74,278,15,1.91
True,0,76,218,440,10.687
False,7,76,218,440,10.687
False,8,76,218,440,10.687
True,3,76,218,440,10.687
True,4,76,218,440,10.687
True,6,76,218,440,10.687
False,7,102,295,4,1.359
True,3,113,758,42,5.864
False,6,113,758,42,5.864
False,1,48,153,291,18.319
True,8,48,153,291,18.319
False,3,48,153,291,18.319
False,4,48,153,291,18.319
False,6,48,153,291,18.319
False,2,48,153,291,18.319
False,1,149,265,107,8.753
True,8,149,265,107,8.753
False,3,149,265,107,8.753
False,0,203,245,388,9.175
False,1,203,245,388,9.175
True,3,203,245,388,9.175
True,4,203,245,388,9.175
False,6,203,245,388,9.175
False,7,95,342,347,220.363
False,5,95,342,347,220.363
True,3,149,622,1081,17.79
False,2,149,622,1081,17.79
False,7,203,319,764,17.08
