Winner,Popularity,Vote_Average,IMDb_Rating
False,6.8,6.8,7.2
True,46.0,8.0,8.2
False,46.0,8.0,8.2
False,46.0,8.0,8.2
False,46.0,8.0,8.2
False,15.2,5.8,5.8
False,13.4,7.1,7.4
False,13.4,7.1,7.4
False,18.7,6.4,6.6
False,11.0,7.1,7.4
False,78.7,8.5,9.0
False,78.7,8.5,9.0
False,38.2,7.6,8.0
False,42.4,7.9,8.1
False,42.4,7.9,8.1
True,42.4,7.9,8.1
False,42.4,7.9,8.1
True,42.4,7.9,8.1
True,42.4,7.9,8.1
False,34.3,7.1,7.5
False,34.3,7.1,7.5
False,34.3,7.1,7.5
False,56.9,8.1,8.3
False,56.9,8.1,8.3
False,13.6,7.3,7.3
False,13.2,7.3,7.6
False,13.2,7.3,7.6
False,10.5,6.9,7.3
False,8.9,6.6,7.1
True,8.1,7.4,7.5
True,8.1,7.4,7.5
False,8.1,7.4,7.5
False,16.2,7.0,7.2
False,47.7,7.9,8.2
True,47.7,7.9,8.2
True,47.7,7.9,8.2
True,47.7,7.9,8.2
True,47.7,7.9,8.2
False,15.6,7.2,7.2
False,17.1,6.5,6.6
False,17.1,6.5,6.6
False,40.7,8.2,8.3
False,40.7,8.2,8.3
False,110.0,7.3,7.8
False,110.0,7.3,7.8
False,110.0,7.3,7.8
False,110.0,7.3,7.8
False,110.0,7.3,7.8
False,110.0,7.3,7.8
False,10.3,6.7,6.9
True,4.9,6.3,7.0
False,4.9,6.3,7.0
False,4.9,6.3,7.0
False,8.7,6.7,7.0
True,9.3,6.2,6.4
False,9.3,6.2,6.4
False,9.7,5.7,5.9
False,37.1,7.5,7.7
False,37.1,7.5,7.7
True,19.3,7.2,7.5
False,19.3,7.2,7.5
False,19.3,7.2,7.5
False,10.4,7.1,7.3
True,4.9,6.1,6.6
False,4.9,6.1,6.6
False,4.9,6.1,6.6
False,13.9,7.3,7.5
False,2.6,6.8,7.2
False,28.1,7.2,7.4
False,28.1,7.2,7.4
True,6.8,7.2,7.7
False,6.8,7.2,7.7
False,17.9,7.6,7.6
False,6.0,6.8,7.5
False,1.4,5.7,6.7
False,7.7,7.3,7.5
False,7.7,7.3,7.5
True,7.7,7.3,7.5
False,1.9,6.4,7.1
True,10.7,7.3,7.7
False,10.7,7.3,7.7
False,10.7,7.3,7.7
True,10.7,7.3,7.7
True,10.7,7.3,7.7
True,10.7,7.3,7.7
False,1.4,4.5,6.1
True,5.9,6.5,6.8
False,5.9,6.5,6.8
False,18.3,6.8,7.3
True,18.3,6.8,7.3
False,18.3,6.8,7.3
False,18.3,6.8,7.3
False,18.3,6.8,7.3
False,18.3,6.8,7.3
False,8.8,7.6,8.0
True,8.8,7.6,8.0
False,8.8,7.6,8.0
False,9.2,7.3,7.7
False,9.2,7.3,7.7
True,9.2,7.3,7.7
True,9.2,7.3,7.7
False,9.2,7.3,7.7
False,220.4,6.9,7.2
False,220.4,6.9,7.2
True,17.8,7.0,7.2
False,17.8,7.0,7.2
False,17.1,7.0,7.2
False,17.1,7.0,7.2
False,17.1,7.0,7.2
False,17.1,7.0,7.2
False,17.1,7.0,7.2
True,17.1,7.0,7.2
False,18.0,7.9,8.3
False,14.0,6.7,7.0
False,14.0,6.7,7.0
False,1.0,5.8,5.5
False,16.1,7.2,7.5
False,16.1,7.2,7.5
False,12.3,7.3,7.5
False,10.2,6.8,7.2
False,10.2,6.8,7.2
False,10.2,6.8,7.2
False,3.2,6.3,6.6
False,3.2,6.3,6.6
False,9.8,8.1,8.1
False,10.8,7.1,7.3
False,10.8,7.1,7.3
False,10.8,7.1,7.3
False,10.8,7.1,7.3
False,11.5,7.1,7.5
False,11.5,7.1,7.5
False,8.6,6.0,6.2
False,38.2,7.5,7.6
False,38.2,7.5,7.6
False,38.2,7.5,7.6
False,38.2,7.5,7.6
False,38.2,7.5,7.6
False,38.2,7.5,7.6
False,18.2,7.6,7.9
True,18.2,7.6,7.9
True,18.2,7.6,7.9
True,18.2,7.6,7.9
False,18.2,7.6,7.9
False,18.2,7.6,7.9
False,18.2,7.6,7.9
False,7.4,6.8,7.8
True,1.9,7.1,7.3
False,1.9,7.1,7.3
True,5.7,6.1,6.5
False,5.7,6.1,6.5
True,8.6,7.6,8.0
False,14.1,7.3,7.6
False,14.6,7.8,8.2
False,14.6,7.8,8.2
False,1.8,7.0,7.3
False,1.8,7.0,7.3
False,17.5,6.7,7.1
False,11.3,6.8,7.2
False,11.3,6.8,7.2
False,9.2,6.6,6.9
False,9.2,6.6,6.9
False,9.2,6.6,6.9
False,13.9,7.4,7.7
True,13.9,7.4,7.7
