Popularity,Vote_Average,IMDb_Rating,Genres,Director
8.8,6.8,7.1,88,282
15.9,6.6,6.3,77,431
12.8,7.2,7.5,23,599
85.7,7.9,8.3,83,479
5.4,5.8,7.0,95,268
18.1,7.5,7.8,225,378
0.9,2.0,5.6,131,606
61.7,7.7,8.0,218,145
10.5,7.0,7.3,73,64
5.9,5.5,5.8,212,208
63.2,7.4,7.8,74,150
15.1,6.7,6.8,74,150
19.9,7.4,7.8,76,496
12.9,6.2,6.3,94,143
17.3,7.7,7.9,222,218
30.2,7.4,7.4,74,694
19.8,6.9,7.2,102,525
63.7,7.4,7.6,95,579
50.9,7.8,7.7,203,36
33.4,7.9,8.2,225,121
9.3,6.7,7.1,95,239
8.9,7.0,7.4,88,764
20.8,7.5,7.5,70,680
8.1,7.4,7.5,203,205
50.9,7.7,7.6,81,372
74.1,7.5,8.0,3,13
8.5,6.5,6.8,134,430
18.5,7.6,7.8,155,614
13.9,7.4,7.7,95,679
11.4,6.6,7.0,193,218
11.8,7.0,7.6,97,278
7.3,6.7,7.4,134,364
9.7,7.1,7.7,223,276
1.1,6.5,6.8,102,618
1.9,5.3,6.2,175,208
60.8,7.5,7.7,149,256
146.9,8.5,9.0,19,116
3.0,6.4,6.6,34,99
13.4,6.4,6.6,29,241
15.6,7.7,8.0,149,557
24.2,7.0,7.2,76,695
11.0,6.4,7.0,80,597
5.6,7.2,7.2,80,483
146.9,8.5,9.0,19,116
77.9,7.6,8.1,56,734
17.2,7.0,7.3,196,199
25.4,7.4,7.9,3,36
47.7,7.9,8.2,79,641
11.4,7.1,7.2,2,74
13.0,7.5,7.9,217,145
12.4,6.7,7.1,134,129
6.1,6.5,6.7,178,538
3.8,7.2,7.5,149,659
8.9,6.9,7.8,223,218
4.9,7.0,7.6,165,757
62.3,8.2,8.5,140,91
33.1,7.1,7.2,103,2
20.6,7.3,7.4,76,667
20.4,6.9,7.4,102,326
63.9,8.3,8.1,95,569
14.4,7.1,7.5,102,18
2.8,5.7,6.3,51,485
20.2,7.5,7.7,19,760
3.4,6.4,5.9,178,272
64.8,8.4,8.5,77,640
25.7,7.8,8.2,140,134
29.5,7.5,7.8,3,121
20.6,7.3,7.4,76,667
18.5,7.5,7.6,149,488
21.6,7.2,7.4,212,42
5.3,6.6,7.0,77,408
19.0,7.4,7.5,71,592
74.1,7.5,8.0,3,13
3.0,7.3,7.3,203,704
55.9,8.4,8.6,102,632
18.0,7.8,8.1,214,675
20.9,6.9,7.3,76,695
9.8,6.6,7.3,53,127
57.8,8.2,8.1,149,703
50.9,7.8,7.7,203,36
63.9,6.7,7.1,177,716
2.3,6.2,6.5,30,440
27.2,7.3,7.7,76,59
9.0,6.8,7.2,76,374
56.7,8.0,8.2,198,460
8.7,5.9,6.6,3,754
20.4,6.3,6.4,44,290
31.1,8.2,8.5,212,491
8.6,7.3,7.6,149,581
8.8,6.8,7.2,203,547
5.3,7.1,7.2,149,187
47.0,8.4,8.6,134,200
8.5,6.4,6.6,51,364
18.9,7.3,7.6,139,628
8.0,6.5,7.0,35,401
10.4,7.0,7.3,212,268
13.5,7.0,7.0,74,487
13.2,7.2,7.4,220,315
18.0,7.9,8.3,149,50
13.6,6.8,7.1,95,430
14.8,7.1,7.4,95,320
14.3,7.3,7.8,225,474
2.8,6.6,7.1,124,594
30.9,7.9,8.1,142,350
10.9,7.9,8.1,90,557
9.3,7.1,7.3,95,711
6.3,6.3,7.0,203,391
24.3,8.3,8.4,168,72
7.1,6.3,7.5,203,673
21.9,7.3,7.6,142,155
14.3,7.0,7.1,76,508
18.5,7.4,7.7,77,705
10.6,6.8,7.3,152,764
8.1,6.7,7.2,149,467
29.0,7.3,7.5,221,410
22.9,7.0,7.0,142,263
2.2,6.3,6.3,149,174
6.9,7.2,7.6,177,191
11.5,6.7,6.9,125,300
9.7,7.2,7.5,74,77
8.8,7.0,7.4,134,675
14.7,7.4,7.7,149,18
45.1,7.5,7.4,163,617
51.1,7.1,6.6,166,564
9.0,7.7,8.1,203,762
14.7,7.4,7.7,149,18
3.8,6.3,7.1,95,278
2.0,5.3,6.4,193,745
7.3,6.7,7.0,77,370
19.2,7.5,7.8,156,231
4.2,6.7,7.1,142,247
12.6,7.1,7.4,76,104
8.4,6.8,7.2,95,439
8.1,6.7,7.2,149,467
40.1,8.1,8.2,149,550
10.2,7.0,7.1,102,740
9.5,6.9,7.2,203,585
3.6,6.2,6.6,102,332
35.7,7.8,7.8,74,554
13.6,7.0,7.2,71,2
57.2,7.9,8.1,3,762
19.9,7.1,7.4,210,569
78.8,7.9,8.2,142,192
21.2,7.2,7.6,177,695
38.2,7.5,7.6,191,83
23.5,7.2,7.3,102,131
167.6,8.4,8.9,46,564
12.6,6.8,7.2,46,63
7.5,7.2,7.7,44,259
24.9,7.9,7.9,74,334
23.9,7.4,7.7,95,473
2.6,6.4,7.0,178,697
18.5,7.6,8.0,76,592
23.9,7.4,7.7,95,473
48.1,7.5,7.3,77,58
41.9,7.6,7.8,73,475
95.6,7.9,8.0,99,136
3.3,6.1,7.0,143,482
11.4,6.9,7.2,95,382
3.5,6.2,7.0,90,614
13.0,6.8,7.2,141,517
11.2,7.1,7.5,186,482
1.9,6.2,6.5,233,266
7.9,7.5,7.9,203,762
9.9,7.2,7.5,76,264
34.0,7.7,7.9,203,522
44.5,7.4,7.9,46,36
21.9,7.3,7.5,3,301
11.5,6.6,7.0,102,448
18.5,7.6,8.0,76,592
10.5,6.9,7.3,76,186
3.3,6.4,7.0,203,210
5.4,5.2,6.4,78,282
8.1,6.4,6.6,3,99
4.8,6.1,6.3,95,88
88.5,6.9,7.1,76,24
20.9,6.9,7.1,98,374
13.5,7.0,7.6,46,206
43.6,7.8,8.0,55,416
11.4,7.9,7.9,95,198
41.3,7.7,7.8,203,100
6.5,6.4,6.7,116,106
9.1,6.5,6.9,44,380
4.9,6.1,6.0,121,242
8.7,7.0,7.3,149,509
1.3,4.8,6.7,149,271
23.1,7.6,7.7,76,65
4.7,6.7,7.0,212,117
6.1,6.5,6.7,178,538
5.6,7.7,7.6,125,659
16.9,7.4,7.5,149,654
18.3,7.7,8.0,149,508
6.3,6.9,7.7,149,186
29.2,7.1,7.3,140,675
10.6,7.3,7.6,212,218
8.0,6.8,7.2,149,315
23.6,7.0,7.1,102,550
13.3,6.9,7.4,217,56
108.1,8.6,9.0,76,695
2.2,4.5,4.6,203,276
9.5,7.8,7.8,223,741
27.6,7.2,7.5,74,475
17.3,7.0,7.4,156,96
148.8,8.2,8.5,3,609
4.7,6.6,7.0,54,275
13.6,7.0,7.2,71,2
24.7,7.6,7.9,149,550
18.2,7.6,7.9,149,186
5.3,6.7,7.2,193,108
15.6,7.3,7.7,102,364
15.1,7.0,7.2,203,428
6.7,6.0,6.8,156,242
191.4,5.6,8.1,149,84
22.9,8.2,8.3,102,72
9.7,7.6,7.9,136,491
10.7,7.3,7.7,76,218
4.3,6.5,6.9,191,491
38.4,8.3,8.6,153,206
33.4,7.9,8.2,225,121
39.7,7.4,7.5,177,302
11.3,7.9,7.8,71,499
4.4,6.7,7.4,149,90
3.8,6.3,7.1,95,278
6.4,6.2,6.6,149,471
33.1,8.0,8.3,149,656
11.8,6.7,7.2,203,621
62.8,7.8,8.2,167,263
25.9,6.9,7.2,134,159
9.6,6.9,7.2,76,212
10.6,7.0,7.2,172,394
21.2,7.9,8.1,196,21
10.2,6.8,7.3,141,452
40.8,8.4,8.7,202,509
7.2,7.2,7.3,158,117
3.6,5.8,6.5,157,659
10.7,7.0,7.5,149,662
8.3,7.3,7.8,203,740
8.9,7.0,7.6,75,491
9.2,7.0,7.6,79,276
8.9,6.2,6.6,9,380
11.0,7.5,7.6,138,675
16.0,7.2,7.1,80,700
13.0,7.1,7.1,81,345
10.3,7.0,7.3,217,370
11.6,7.3,7.5,77,487
17.3,7.7,7.9,222,218
16.1,5.6,5.6,140,85
23.6,7.6,7.8,55,364
10.6,6.8,7.3,152,764
19.8,6.9,7.2,102,525
79.0,8.1,8.6,8,316
7.4,5.9,6.4,142,339
29.7,7.0,7.0,76,394
135.3,7.6,7.9,5,316
15.7,7.2,7.5,194,375
15.3,7.4,7.7,51,370
6.9,6.2,6.5,203,231
15.6,7.7,8.0,149,557
36.4,7.6,7.8,109,625
41.7,7.5,7.6,196,685
28.1,7.2,7.4,19,148
18.4,7.4,7.4,48,638
11.2,7.1,7.5,186,482
3.5,6.3,6.0,88,0
6.7,6.9,7.5,113,15
3.9,6.5,6.9,80,482
6.1,6.8,7.7,149,329
18.4,7.4,7.4,48,638
19.2,6.8,6.8,74,328
17.7,8.1,8.2,149,394
10.6,7.2,7.5,30,768
18.9,7.6,7.6,225,245
16.2,7.0,7.2,75,464
16.8,6.6,6.8,203,54
24.7,6.8,6.9,218,3
14.8,7.8,8.1,149,364
191.4,5.6,8.1,149,84
14.8,6.3,6.5,76,83
7.1,6.7,7.0,80,338
7.7,6.7,7.0,99,435
54.3,7.7,7.8,142,137
38.4,7.1,7.7,102,159
22.9,8.2,8.3,102,72
29.0,8.0,8.1,223,490
6.1,6.8,7.7,149,329
13.9,7.4,7.7,95,679
15.7,6.8,7.1,126,240
11.0,6.4,7.0,80,597
91.7,7.8,7.9,90,591
21.0,7.3,7.4,149,432
13.0,7.0,7.3,78,745
19.0,7.7,8.0,156,525
9.7,7.2,7.5,74,77
8.8,7.0,7.2,223,373
67.8,7.7,7.8,178,181
5.1,6.8,7.6,203,527
191.4,5.6,8.1,149,84
10.6,7.3,7.6,212,218
19.9,7.4,7.8,76,496
10.4,7.3,7.7,76,128
28.3,6.8,7.3,218,631
9.5,6.6,6.9,113,748
24.4,7.7,7.7,177,1
18.8,7.5,7.7,73,675
54.0,7.4,7.7,23,609
23.6,6.6,7.0,198,724
16.6,6.8,6.9,203,47
7.2,6.9,7.2,188,240
20.6,7.3,7.4,76,667
8.9,7.0,7.6,75,491
18.0,7.2,7.3,76,121
29.0,8.0,8.1,223,490
23.4,7.5,7.5,71,131
11.7,7.8,8.1,149,292
16.5,8.1,8.0,161,198
8.7,6.3,6.7,4,768
5.4,6.8,7.1,125,245
28.6,7.5,7.9,212,153
5.5,6.8,7.3,77,268
11.8,6.8,7.2,71,519
9.0,6.9,7.2,102,267
8.5,7.0,7.3,183,624
675.2,6.9,8.0,227,384
48.1,7.5,7.3,77,58
4.0,6.2,6.6,203,672
34.3,7.4,7.7,102,611
19.2,6.8,6.8,74,328
11.1,6.5,6.8,48,659
9.2,7.0,7.4,168,623
12.2,7.5,7.8,102,206
11.3,7.0,7.2,74,531
34.6,7.6,7.6,43,609
6.3,6.9,7.7,149,186
12.8,6.3,6.7,203,635
19.8,7.5,7.8,76,638
14.7,7.5,7.8,74,344
10.7,6.7,7.3,102,320
14.8,6.6,6.7,103,641
24.5,7.4,7.7,102,320
5.5,6.1,7.0,102,474
0.3,5.0,5.9,149,524
17.1,6.8,7.2,140,725
34.2,7.4,7.7,95,678
17.1,6.8,7.2,140,725
2.0,4.5,5.7,31,451
13.2,7.7,8.0,217,623
8.0,7.0,8.0,102,513
19.5,7.1,7.2,91,610
42.4,7.9,8.1,76,692
8.1,7.4,7.5,203,205
7.6,5.2,5.6,193,273
1.1,5.5,6.2,149,281
7.3,6.7,7.0,77,370
8.7,7.3,7.5,202,292
19.2,7.5,7.8,156,231
11.4,7.2,7.7,76,286
8.0,7.5,7.8,106,444
69.7,7.7,8.1,230,760
22.0,7.2,7.3,95,88
29.2,8.0,8.3,194,536
6.6,7.1,7.7,203,762
307.8,7.3,6.4,90,312
16.0,7.2,7.1,80,700
13.1,7.0,7.2,83,218
81.4,8.1,8.3,142,720
2.9,5.9,6.7,77,745
1.6,4.7,5.9,193,511
3.3,5.2,6.6,203,25
6.1,6.7,7.5,149,570
25.3,7.4,7.8,13,159
14.4,6.7,6.9,71,203
1.3,6.0,6.6,85,279
8.9,7.2,7.3,71,762
9.3,6.7,7.1,95,239
14.6,6.8,7.2,101,613
4.4,6.6,7.1,149,330
10.5,7.0,7.3,73,64
10.0,6.6,7.1,80,402
10.5,7.0,7.4,36,175
127.9,8.5,8.8,203,631
29.4,8.0,8.3,134,621
59.7,7.6,7.8,231,390
3.9,7.0,7.4,203,627
23.7,7.0,7.0,29,369
8.5,7.4,7.6,170,373
52.1,7.5,7.7,142,405
20.0,8.1,8.3,136,72
8.7,7.1,7.3,210,186
10.9,8.1,8.3,203,463
3.1,5.5,7.4,212,469
11.8,6.2,6.6,192,629
50.3,7.5,7.9,57,695
6.2,7.0,7.3,102,435
5.8,6.9,6.5,78,627
16.8,7.0,7.2,83,533
23.1,7.3,7.5,134,717
17.5,8.2,8.4,140,72
112.6,8.6,9.0,134,203
5.6,6.8,7.6,203,305
13.6,7.6,7.6,95,683
15.6,7.1,7.1,80,484
16.0,7.7,7.9,76,7
2.0,6.4,6.7,125,526
8.2,7.1,7.4,203,78
225.8,8.2,8.5,3,165
9.8,7.0,7.6,212,762
122.5,8.0,8.2,70,475
10.3,7.7,7.9,97,278
21.0,7.3,7.4,149,432
17.5,8.1,8.2,149,292
19.3,7.2,7.4,102,700
10.8,7.1,7.3,203,756
10.8,6.6,7.0,102,508
109.9,8.5,8.5,218,79
10.5,6.9,7.1,76,533
24.5,7.4,7.7,102,320
19.8,7.5,7.8,76,638
6.8,6.6,7.0,125,185
25.9,6.9,7.2,134,159
27.9,7.0,7.1,203,705
77.5,7.7,7.8,102,766
13.3,7.1,7.1,9,644
8.5,7.6,8.1,203,419
13.0,7.0,7.3,78,745
13.2,6.4,6.6,189,9
44.1,7.9,8.2,212,733
120.3,8.5,8.9,134,579
22.0,7.2,7.3,95,88
70.7,8.1,8.2,95,569
8.3,7.3,7.5,178,4
