Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
6.8,6.8,7.2,"Drama, History, Musical",Peter H. Hunt,False
46.0,8.0,8.2,"Action, Drama, War",Sam Mendes,True
46.0,8.0,8.2,"Action, Drama, War",Sam Mendes,False
46.0,8.0,8.2,"Action, Drama, War",Sam Mendes,False
46.0,8.0,8.2,"Action, Drama, War",Sam Mendes,False
15.2,5.8,5.8,"Action, Comedy, War",Steven Spielberg,False
13.4,7.1,7.4,"Crime, Drama, Thriller",Norman Jewison,False
13.4,7.1,7.4,"Crime, Drama, Thriller",Norman Jewison,False
18.7,6.4,6.6,"Action, Adventure, Comedy",Peter Faiman,False
11.0,7.1,7.4,"Drama, Music",Bertrand Tavernier,False
78.7,8.5,9.0,"Crime, Drama",Sidney Lumet,False
78.7,8.5,9.0,"Crime, Drama",Sidney Lumet,False
38.2,7.6,8.0,"Mystery, Sci-Fi, Thriller",Terry Gilliam,False
42.4,7.9,8.1,"Biography, Drama, History",Steve McQueen,False
42.4,7.9,8.1,"Biography, Drama, History",Steve McQueen,False
42.4,7.9,8.1,"Biography, Drama, History",Steve McQueen,True
42.4,7.9,8.1,"Biography, Drama, History",Steve McQueen,False
42.4,7.9,8.1,"Biography, Drama, History",Steve McQueen,True
42.4,7.9,8.1,"Biography, Drama, History",Steve McQueen,True
34.3,7.1,7.5,"Biography, Drama",Danny Boyle,False
34.3,7.1,7.5,"Biography, Drama",Danny Boyle,False
34.3,7.1,7.5,"Biography, Drama",Danny Boyle,False
56.9,8.1,8.3,"Adventure, Sci-Fi",Stanley Kubrick,False
56.9,8.1,8.3,"Adventure, Sci-Fi",Stanley Kubrick,False
13.6,7.3,7.3,"Comedy, Drama",Mike Mills,False
13.2,7.3,7.6,"Crime, Drama, Thriller",Alejandro G. Iñárritu,False
13.2,7.3,7.6,"Crime, Drama, Thriller",Alejandro G. Iñárritu,False
10.5,6.9,7.3,"Comedy, Drama, Musical",Lloyd Bacon,False
8.9,6.6,7.1,"Drama, Romance",Andrew Haigh,False
8.1,7.4,7.5,"Drama, Romance",Frank Borzage,True
8.1,7.4,7.5,"Drama, Romance",Frank Borzage,True
8.1,7.4,7.5,"Drama, Romance",Frank Borzage,False
16.2,7.0,7.2,"Biography, Drama, Family",Marielle Heller,False
47.7,7.9,8.2,"Biography, Drama, Mystery",Ron Howard,False
47.7,7.9,8.2,"Biography, Drama, Mystery",Ron Howard,True
47.7,7.9,8.2,"Biography, Drama, Mystery",Ron Howard,True
47.7,7.9,8.2,"Biography, Drama, Mystery",Ron Howard,True
47.7,7.9,8.2,"Biography, Drama, Mystery",Ron Howard,True
15.6,7.2,7.2,"Drama, Romance",Chris Weitz,False
17.1,6.5,6.6,"Biography, Drama",Steven Zaillian,False
17.1,6.5,6.6,"Biography, Drama",Steven Zaillian,False
40.7,8.2,8.3,"Crime, Sci-Fi, Thriller",Stanley Kubrick,False
40.7,8.2,8.3,"Crime, Sci-Fi, Thriller",Stanley Kubrick,False
110.0,7.3,7.8,"Biography, Drama, Music",James Mangold,False
110.0,7.3,7.8,"Biography, Drama, Music",James Mangold,False
110.0,7.3,7.8,"Biography, Drama, Music",James Mangold,False
110.0,7.3,7.8,"Biography, Drama, Music",James Mangold,False
110.0,7.3,7.8,"Biography, Drama, Music",James Mangold,False
110.0,7.3,7.8,"Biography, Drama, Music",James Mangold,False
10.3,6.7,6.9,"Biography, Drama",Fred Schepisi,False
4.9,6.3,7.0,"Crime, Drama, Film-Noir",George Cukor,True
4.9,6.3,7.0,"Crime, Drama, Film-Noir",George Cukor,False
