Popularity,Vote_Average,IMDb_Rating,Genres,Director,Winner
6.8,6.8,7.2,173,562,False
46.0,8.0,8.2,30,656,True
46.0,8.0,8.2,30,656,False
46.0,8.0,8.2,30,656,False
46.0,8.0,8.2,30,656,False
15.2,5.8,5.8,18,695,False
13.4,7.1,7.4,142,525,False
13.4,7.1,7.4,142,525,False
18.7,6.4,6.6,2,559,False
11.0,7.1,7.4,188,67,False
78.7,8.5,9.0,134,675,False
78.7,8.5,9.0,134,675,False
38.2,7.6,8.0,239,710,False
42.4,7.9,8.1,76,692,False
42.4,7.9,8.1,76,692,False
42.4,7.9,8.1,76,692,True
42.4,7.9,8.1,76,692,False
42.4,7.9,8.1,76,692,True
42.4,7.9,8.1,76,692,True
34.3,7.1,7.5,74,141,False
34.3,7.1,7.5,74,141,False
34.3,7.1,7.5,74,141,False
56.9,8.1,8.3,63,684,False
56.9,8.1,8.3,63,684,False
13.6,7.3,7.3,95,506,False
13.2,7.3,7.6,142,13,False
13.2,7.3,7.6,142,13,False
10.5,6.9,7.3,100,449,False
8.9,6.6,7.1,203,31,False
8.1,7.4,7.5,203,205,True
8.1,7.4,7.5,203,205,True
8.1,7.4,7.5,203,205,False
16.2,7.0,7.2,75,464,False
47.7,7.9,8.2,79,641,False
47.7,7.9,8.2,79,641,True
47.7,7.9,8.2,79,641,True
47.7,7.9,8.2,79,641,True
47.7,7.9,8.2,79,641,True
15.6,7.2,7.2,203,113,False
17.1,6.5,6.6,74,696,False
17.1,6.5,6.6,74,696,False
40.7,8.2,8.3,146,684,False
40.7,8.2,8.3,146,684,False
110.0,7.3,7.8,77,321,False
110.0,7.3,7.8,77,321,False
110.0,7.3,7.8,77,321,False
110.0,7.3,7.8,77,321,False
110.0,7.3,7.8,77,321,False
110.0,7.3,7.8,77,321,False
10.3,6.7,6.9,74,217,False
4.9,6.3,7.0,136,231,True
4.9,6.3,7.0,136,231,False
4.9,6.3,7.0,136,231,False
8.7,6.7,7.0,218,194,False
9.3,6.2,6.4,212,205,True
9.3,6.2,6.4,212,205,False
9.7,5.7,5.9,212,107,False
37.1,7.5,7.7,218,611,False
37.1,7.5,7.7,218,611,False
19.3,7.2,7.5,89,103,True
19.3,7.2,7.5,89,103,False
19.3,7.2,7.5,89,103,False
10.4,7.1,7.3,102,72,False
4.9,6.1,6.6,141,117,True
4.9,6.1,6.6,141,117,False
4.9,6.1,6.6,141,117,False
13.9,7.3,7.5,115,601,False
2.6,6.8,7.2,149,218,False
28.1,7.2,7.4,19,148,False
28.1,7.2,7.4,19,148,False
6.8,7.2,7.7,102,394,True
6.8,7.2,7.7,102,394,False
17.9,7.6,7.6,153,19,False
6.0,6.8,7.5,40,239,False
1.4,5.7,6.7,125,482,False
7.7,7.3,7.5,209,119,False
7.7,7.3,7.5,209,119,False
7.7,7.3,7.5,209,119,True
1.9,6.4,7.1,74,278,False
10.7,7.3,7.7,76,218,True
10.7,7.3,7.7,76,218,False
10.7,7.3,7.7,76,218,False
10.7,7.3,7.7,76,218,True
10.7,7.3,7.7,76,218,True
10.7,7.3,7.7,76,218,True
1.4,4.5,6.1,102,295,False
5.9,6.5,6.8,113,758,True
5.9,6.5,6.8,113,758,False
18.3,6.8,7.3,48,153,False
18.3,6.8,7.3,48,153,True
