IMDb_Rating,Popularity,Vote_Count,Vote_Average,Winner,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress
7.2,6.822,75,6.8,0,False,False,False,True,False,False,False,False,False
8.2,45.996,12542,8.0,1,False,False,False,True,False,False,False,False,False
8.2,45.996,12542,8.0,0,False,False,False,False,True,False,False,False,False
8.2,45.996,12542,8.0,0,False,False,False,False,False,False,True,False,False
8.2,45.996,12542,8.0,0,False,False,False,False,False,True,False,False,False
5.8,15.193,623,5.8,0,False,False,False,True,False,False,False,False,False
7.4,13.362,519,7.1,0,True,False,False,False,False,False,False,False,False
7.4,13.362,519,7.1,0,False,False,False,False,False,True,False,False,False
6.6,18.674,1909,6.4,0,False,False,False,False,False,True,False,False,False
7.4,10.99,93,7.1,0,True,False,False,False,False,False,False,False,False
9.0,78.749,8835,8.546,0,False,False,False,False,True,False,False,False,False
9.0,78.749,8835,8.546,0,False,False,False,False,False,False,True,False,False
8.0,38.23,8428,7.598,0,False,False,False,False,False,False,False,True,False
8.1,42.437,11319,7.936,0,True,False,False,False,False,False,False,False,False
8.1,42.437,11319,7.936,0,False,False,False,False,False,False,False,True,False
8.1,42.437,11319,7.936,1,False,False,False,False,False,False,False,False,True
8.1,42.437,11319,7.936,0,False,False,False,False,True,False,False,False,False
8.1,42.437,11319,7.936,1,False,False,False,False,False,False,True,False,False
8.1,42.437,11319,7.936,1,False,False,True,False,False,False,False,False,False
7.5,34.335,7568,7.082,0,True,False,False,False,False,False,False,False,False
7.5,34.335,7568,7.082,0,False,False,False,False,False,False,True,False,False
7.5,34.335,7568,7.082,0,False,False,True,False,False,False,False,False,False
8.3,56.902,11648,8.1,0,False,False,False,False,True,False,False,False,False
8.3,56.902,11648,8.1,0,False,False,False,False,False,True,False,False,False
7.3,13.604,1141,7.3,0,False,False,False,False,False,True,False,False,False
7.6,13.24,3136,7.3,0,False,False,False,False,False,False,False,True,False
