Year,Category,Film,Film_ID,Nominee,Winner,TMDb_ID,Popularity,Vote_Count,Vote_Average,Genres,Director,IMDb_Rating
1972,Best Cinematography,1776,tt0068156,"Harry Stradling, Jr.",FALSE,14902,6.822,75,6.8,"Drama, History, Musical",Peter H. Hunt,7.2
2019,Best Cinematography,1917,tt8579674,Roger Deakins,TRUE,530915,45.996,12542,8,"Action, Drama, War",Sam Mendes,8.2
2019,Best Director,1917,tt8579674,Sam Mendes,FALSE,530915,45.996,12542,8,"Action, Drama, War",Sam Mendes,8.2
2019,Best Picture,1917,tt8579674,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",FALSE,530915,45.996,12542,8,"Action, Drama, War",Sam Mendes,8.2
2019,Best Original Screenplay,1917,tt8579674,Written by Sam Mendes & Krysty Wilson-Cairns,FALSE,530915,45.996,12542,8,"Action, Drama, War",Sam Mendes,8.2
1979,Best Cinematography,1941,tt0078723,William A. Fraker,FALSE,11519,15.193,623,5.8,"Action, Comedy, War",Steven Spielberg,5.8
1979,Best Actor,...And Justice for All,tt0078718,Al Pacino,FALSE,17443,13.362,519,7.1,"Crime, Drama, Thriller",Norman Jewison,7.4
1979,Best Original Screenplay,...And Justice for All,tt0078718,"Valerie Curtin, Barry Levinson",FALSE,17443,13.362,519,7.1,"Crime, Drama, Thriller",Norman Jewison,7.4
1986,Best Original Screenplay,'Crocodile' Dundee,tt0090555,"Screenplay by Paul Hogan, Ken Shadie, John Cornell; Story by Paul Hogan",FALSE,9671,18.674,1909,6.4,"Action, Adventure, Comedy",Peter Faiman,6.6
1986,Best Actor,'Round Midnight,tt0090557,Dexter Gordon,FALSE,14670,10.99,93,7.1,"Drama, Music",Bertrand Tavernier,7.4
1957,Best Director,12 Angry Men,tt0050083,Sidney Lumet,FALSE,389,78.749,8835,8.546,"Crime, Drama",Sidney Lumet,9
1957,Best Picture,12 Angry Men,tt0050083,"Henry Fonda and Reginald Rose, Producers",FALSE,389,78.749,8835,8.546,"Crime, Drama",Sidney Lumet,9
1995,Best Supporting Actor,12 Monkeys,tt0114746,Brad Pitt,FALSE,63,38.23,8428,7.598,"Mystery, Sci-Fi, Thriller",Terry Gilliam,8
2013,Best Actor,12 Years a Slave,tt2024544,Chiwetel Ejiofor,FALSE,76203,42.437,11319,7.936,"Biography, Drama, History",Steve McQueen,8.1
2013,Best Supporting Actor,12 Years a Slave,tt2024544,Michael Fassbender,FALSE,76203,42.437,11319,7.936,"Biography, Drama, History",Steve McQueen,8.1
2013,Best Supporting Actress,12 Years a Slave,tt2024544,Lupita Nyong'o,TRUE,76203,42.437,11319,7.936,"Biography, Drama, History",Steve McQueen,8.1
2013,Best Director,12 Years a Slave,tt2024544,Steve McQueen,FALSE,76203,42.437,11319,7.936,"Biography, Drama, History",Steve McQueen,8.1
2013,Best Picture,12 Years a Slave,tt2024544,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",TRUE,76203,42.437,11319,7.936,"Biography, Drama, History",Steve McQueen,8.1
