Winner,Category,Genres,Director,Popularity
False,Best Cinematography,"Drama, History, Musical",Peter H. Hunt,6.8
True,Best Cinematography,"Action, Drama, War",Sam Mendes,46.0
False,Best Director,"Action, Drama, War",Sam Mendes,46.0
False,Best Picture,"Action, Drama, War",Sam Mendes,46.0
False,Best Original Screenplay,"Action, Drama, War",Sam Mendes,46.0
False,Best Cinematography,"Action, Comedy, War",Steven Spielberg,15.2
False,Best Actor,"Crime, Drama, Thriller",Norman Jewison,13.4
False,Best Original Screenplay,"Crime, Drama, Thriller",Norman Jewison,13.4
False,Best Original Screenplay,"Action, Adventure, Comedy",Peter Faiman,18.7
False,Best Actor,"Drama, Music",Bertrand Tavernier,11.0
False,Best Director,"Crime, Drama",Sidney Lumet,78.7
False,Best Picture,"Crime, Drama",Sidney Lumet,78.7
False,Best Supporting Actor,"Mystery, Sci-Fi, Thriller",Terry Gilliam,38.2
False,Best Actor,"Biography, Drama, History",Steve McQueen,42.4
False,Best Supporting Actor,"Biography, Drama, History",Steve McQueen,42.4
True,Best Supporting Actress,"Biography, Drama, History",Steve McQueen,42.4
False,Best Director,"Biography, Drama, History",Steve McQueen,42.4
True,Best Picture,"Biography, Drama, History",Steve McQueen,42.4
True,Best Adapted Screenplay,"Biography, Drama, History",Steve McQueen,42.4
False,Best Actor,"Biography, Drama",Danny Boyle,34.3
False,Best Picture,"Biography, Drama",Danny Boyle,34.3
False,Best Adapted Screenplay,"Biography, Drama",Danny Boyle,34.3
False,Best Director,"Adventure, Sci-Fi",Stanley Kubrick,56.9
False,Best Original Screenplay,"Adventure, Sci-Fi",Stanley Kubrick,56.9
False,Best Original Screenplay,"Comedy, Drama",Mike Mills,13.6
False,Best Supporting Actor,"Crime, Drama, Thriller",Alejandro G. Iñárritu,13.2
False,Best Actress,"Crime, Drama, Thriller",Alejandro G. Iñárritu,13.2
False,Best Picture,"Comedy, Drama, Musical",Lloyd Bacon,10.5
False,Best Actress,"Drama, Romance",Andrew Haigh,8.9
True,Best Actress,"Drama, Romance",Frank Borzage,8.1
True,Best Director,"Drama, Romance",Frank Borzage,8.1
False,Best Picture,"Drama, Romance",Frank Borzage,8.1
False,Best Supporting Actor,"Biography, Drama, Family",Marielle Heller,16.2
False,Best Actor,"Biography, Drama, Mystery",Ron Howard,47.7
True,Best Supporting Actress,"Biography, Drama, Mystery",Ron Howard,47.7
True,Best Director,"Biography, Drama, Mystery",Ron Howard,47.7
True,Best Picture,"Biography, Drama, Mystery",Ron Howard,47.7
True,Best Adapted Screenplay,"Biography, Drama, Mystery",Ron Howard,47.7
False,Best Actor,"Drama, Romance",Chris Weitz,15.6
False,Best Supporting Actor,"Biography, Drama",Steven Zaillian,17.1
False,Best Cinematography,"Biography, Drama",Steven Zaillian,17.1
False,Best Director,"Crime, Sci-Fi, Thriller",Stanley Kubrick,40.7
False,Best Picture,"Crime, Sci-Fi, Thriller",Stanley Kubrick,40.7
False,Best Actor,"Biography, Drama, Music",James Mangold,110.0
False,Best Supporting Actor,"Biography, Drama, Music",James Mangold,110.0
