antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Supporting Actor'})",frozenset({'Best Picture'}),0.02416254805052169,0.31466227347611203,0.02416254805052169,1.0,3.1780104712041886,1.0,0.016559505747968738,inf,0.7023072594259988,0.07678883071553227,1.0,0.5383944153577661
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Cinematography', 'Best Actor'})",frozenset({'Best Picture'}),0.012630422844590884,0.31466227347611203,0.012630422844590884,1.0,3.1780104712041886,1.0,0.008656105277347295,inf,0.6941045606229145,0.04013961605584642,1.0,0.5200698080279232
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Supporting Actor', 'Best Actor'})",frozenset({'Best Picture'}),0.011532125205930808,0.31466227347611203,0.011532125205930808,1.0,3.1780104712041886,1.0,0.007903400470621443,inf,0.6933333333333334,0.03664921465968587,1.0,0.518324607329843
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Supporting Actress', 'Best Actor'})",frozenset({'Best Picture'}),0.013179571663920923,0.31466227347611203,0.013179571663920923,1.0,3.1780104712041886,1.0,0.009032457680710222,inf,0.6944908180300502,0.041884816753926704,1.0,0.5209424083769634
"frozenset({'Best Supporting Actor', 'Best Supporting Actress', 'Best Original Screenplay', 'Best Actor'})",frozenset({'Best Director'}),0.01043382756727073,0.2591982427237781,0.01043382756727073,1.0,3.8580508474576276,1.0,0.0077293977969512435,inf,0.7486126526082131,0.0402542372881356,1.0,0.5201271186440678
"frozenset({'Best Supporting Actor', 'Best Supporting Actress', 'Best Picture', 'Best Actor'})",frozenset({'Best Director'}),0.02416254805052169,0.2591982427237781,0.02416254805052169,1.0,3.8580508474576276,1.0,0.01789965805609762,inf,0.7591446257737761,0.09322033898305085,1.0,0.5466101694915254
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Supporting Actor', 'Best Cinematography'})",frozenset({'Best Picture'}),0.011532125205930808,0.31466227347611203,0.011532125205930808,1.0,3.1780104712041886,1.0,0.007903400470621443,inf,0.6933333333333334,0.03664921465968587,1.0,0.518324607329843
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Supporting Actress', 'Best Supporting Actor'})",frozenset({'Best Picture'}),0.010982976386600769,0.31466227347611203,0.010982976386600769,1.0,3.1780104712041886,1.0,0.007527048067258517,inf,0.6929483620210994,0.034904013961605584,1.0,0.5174520069808028
"frozenset({'Best Actor', 'Best Supporting Actor', 'Best Supporting Actress', 'Best Picture', 'Best Cinematography'})",frozenset({'Best Director'}),0.014277869302580999,0.2591982427237781,0.014277869302580999,1.0,3.8580508474576276,1.0,0.010577070669512228,inf,0.7515320334261838,0.05508474576271187,1.0,0.527542372881356
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Supporting Actress'})",frozenset({'Best Picture'}),0.020318506315211423,0.31466227347611203,0.019769357495881382,0.9729729729729729,3.092118296306778,1.0,0.013375890105098216,25.357495881383805,0.6906296711509715,0.0627177700348432,0.9605639293139291,0.5179000990519315
"frozenset({'Best Supporting Actor', 'Best Picture', 'Best Supporting Actress', 'Best Original Screenplay'})",frozenset({'Best Director'}),0.017023613399231193,0.2591982427237781,0.016474464579901153,0.9677419354838709,3.733597594313833,1.0,0.012061973902011464,22.96485447556282,0.7448417132216014,0.06342494714587738,0.9564551997895693,0.5156506287588846
"frozenset({'Best Adapted Screenplay', 'Best Cinematography', 'Best Actor'})",frozenset({'Best Picture'}),0.014827018121911038,0.31466227347611203,0.014277869302580999,0.9629629629629629,3.0603063796781074,1.0,0.00961236607146896,18.50411861614495,0.6833676357087729,0.045296167247386755,0.9459579772079769,0.504169090556525
"frozenset({'Best Actress', 'Best Supporting Actress', 'Best Supporting Actor', 'Best Picture'})",frozenset({'Best Director'}),0.013728720483250962,0.2591982427237781,0.013179571663920923,0.96,3.7037288135593225,1.0,0.009621111439816336,18.52004393190553,0.7401633259094283,0.05073995771670191,0.9460044477390659,0.5054237288135593
"frozenset({'Best Director', 'Best Adapted Screenplay', 'Best Actor'})",frozenset({'Best Picture'}),0.026908292147171883,0.31466227347611203,0.02580999450851181,0.9591836734693878,3.0482957580938135,1.0,0.01734297012612329,16.790774299835284,0.6905287930454829,0.0817391304347826,0.9404434850863421,0.5206040531395805
"frozenset({'Best Adapted Screenplay', 'Best Supporting Actor', 'Best Cinematography'})",frozenset({'Best Picture'}),0.013179571663920923,0.31466227347611203,0.012630422844590884,0.9583333333333333,3.045593368237347,1.0,0.008483308861380181,16.448105436573282,0.6806271321768164,0.04006968641114982,0.9392027243589742,0.4992364746945898
