antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Best Director'}),frozenset({'Best Picture'}),0.2591982427237781,0.31466227347611203,0.1927512355848435,0.7436440677966103,2.363308634306505,1.0,0.11119132724836636,2.6733835282584737,0.7787028061305304,0.5057636887608069,0.6259421854628424,0.6781047564113942
frozenset({'Best Picture'}),frozenset({'Best Director'}),0.31466227347611203,0.2591982427237781,0.1927512355848435,0.612565445026178,2.363308634306505,1.0,0.11119132724836636,1.9120694005372756,0.8417228248959019,0.5057636887608069,0.477006430980482,0.6781047564113942
frozenset({'Best Picture'}),frozenset({'Best Cinematography'}),0.31466227347611203,0.34925864909390447,0.13618890719384955,0.4328097731239093,1.2392242088972307,1.0,0.026290386638765928,1.1473070586744394,0.28167648883374685,0.2580645161290323,0.12839375262332384,0.4113734400210741
frozenset({'Best Cinematography'}),frozenset({'Best Picture'}),0.34925864909390447,0.31466227347611203,0.13618890719384955,0.389937106918239,1.2392242088972307,1.0,0.026290386638765928,1.1233886445082288,0.2966516945692119,0.2580645161290323,0.10983611514271893,0.4113734400210741
frozenset({'Best Picture'}),frozenset({'Best Actor'}),0.31466227347611203,0.2531576057111477,0.13289401427786932,0.4223385689354276,1.6682831540811578,1.0,0.05323486651703041,1.2928721810498862,0.5845021455816911,0.3055555555555556,0.2265283338466277,0.47364216950025184
frozenset({'Best Actor'}),frozenset({'Best Picture'}),0.2531576057111477,0.31466227347611203,0.13289401427786932,0.524945770065076,1.6682831540811578,1.0,0.05323486651703041,1.4426515613128423,0.5363666747690813,0.3055555555555556,0.30683192891707006,0.47364216950025184
frozenset({'Best Director'}),frozenset({'Best Cinematography'}),0.2591982427237781,0.34925864909390447,0.11916529379461833,0.4597457627118644,1.3163475375759512,1.0,0.028638065693397635,1.2045094808928514,0.32440824915537364,0.2435465768799102,0.16978652649645995,0.40047036563266175
frozenset({'Best Cinematography'}),frozenset({'Best Director'}),0.34925864909390447,0.2591982427237781,0.11916529379461833,0.3411949685534591,1.3163475375759515,1.0,0.028638065693397635,1.1244628105672485,0.36930525578953505,0.2435465768799102,0.11068646236905046,0.40047036563266175
frozenset({'Best Director'}),frozenset({'Best Actor'}),0.2591982427237781,0.2531576057111477,0.11257550796265788,0.4343220338983051,1.715619140409574,1.0,0.0469575014301693,1.320260712001267,0.5630656855123038,0.28159340659340665,0.24257384097706883,0.4395037501378727
frozenset({'Best Actor'}),frozenset({'Best Director'}),0.2531576057111477,0.2591982427237781,0.11257550796265788,0.44468546637744033,1.715619140409574,1.0,0.0469575014301693,1.3340219144700713,0.5585114777618366,0.28159340659340665,0.2503871269631719,0.4395037501378727
frozenset({'Best Picture'}),frozenset({'Best Supporting Actor'}),0.31466227347611203,0.22679846238330587,0.10598572213069742,0.3368237347294939,1.4851235373908194,1.0,0.03462080233627991,1.165906529090436,0.4766341171781585,0.2433795712484237,0.14229831032841506,0.4020680416988874
frozenset({'Best Supporting Actor'}),frozenset({'Best Picture'}),0.22679846238330587,0.31466227347611203,0.10598572213069742,0.46731234866828086,1.4851235373908194,1.0,0.03462080233627991,1.2865658229743897,0.4224711493170042,0.2433795712484237,0.22273700875395788,0.4020680416988874
"frozenset({'Best Director', 'Best Picture'})",frozenset({'Best Actor'}),0.1927512355848435,0.2531576057111477,0.09719934102141681,0.5042735042735043,1.9919350353189833,1.0,0.04840289972289245,1.5065613815826846,0.6168799723279144,0.278740157480315,0.33623680241327303,0.4441107217679886
"frozenset({'Best Director', 'Best Actor'})",frozenset({'Best Picture'}),0.11257550796265788,0.31466227347611203,0.09719934102141681,0.8634146341463416,2.743940748308007,1.0,0.06177607574815873,5.017651212049898,0.7161856016110086,0.2945091514143095,0.8007035647279551,0.5861575788532755
"frozenset({'Best Picture', 'Best Actor'})",frozenset({'Best Director'}),0.13289401427786932,0.2591982427237781,0.09719934102141681,0.731404958677686,2.8217975206611574,1.0,0.06275344605208441,2.758061927089934,0.7445640700865528,0.3296089385474861,0.6374265602313315,0.553202479338843
