IMDb_Rating,Popularity,Vote_Count,Vote_Average,Category_Best Actor,Category_Best Actress,Category_Best Adapted Screenplay,Category_Best Cinematography,Category_Best Director,Category_Best Original Screenplay,Category_Best Picture,Category_Best Supporting Actor,Category_Best Supporting Actress,Winner
7.3,7.2,109,7.2,False,False,False,False,False,False,False,False,True,1
8.6,73.675,16003,8.2,False,False,False,False,False,True,False,False,False,0
7.7,27.233,8314,7.278,False,False,True,False,False,False,False,False,False,1
9.0,112.575,12647,8.6,False,False,False,False,False,False,True,False,False,1
7.8,23.922,1630,7.489,False,False,False,False,False,False,True,False,False,0
7.0,4.49,74,6.508,True,False,False,False,False,False,False,False,False,0
7.8,36.351,4704,7.562,False,True,False,False,False,False,False,False,False,1
7.3,10.171,271,6.779,False,False,False,False,False,False,True,False,False,0
6.7,1.292,5,4.8,False,False,False,False,False,True,False,False,False,0
6.8,12.783,251,6.311,False,False,False,False,False,True,False,False,False,0
7.5,11.208,244,7.115,False,False,False,False,False,False,False,False,True,0
6.9,6.527,61,6.6,False,False,False,False,False,False,False,False,True,0
7.7,23.087,4270,7.7,False,False,False,False,False,True,False,False,False,0
7.6,16.537,615,7.4,False,False,False,False,False,False,False,True,False,0
7.6,9.731,632,7.5,False,False,False,False,False,False,False,True,False,0
8.0,16.526,2305,8.1,False,False,False,False,True,False,False,False,False,0
7.5,8.272,250,7.3,False,False,True,False,False,False,False,False,False,0
7.5,7.088,69,6.268,False,False,False,True,False,False,False,False,False,1
7.5,28.98,5649,7.3,False,False,False,False,False,True,False,False,False,1
6.0,0.803,14,5.7,False,True,False,False,False,False,False,False,False,0
7.2,8.837,48,7.0,True,False,False,False,False,False,False,False,False,0
8.0,18.296,834,7.722,False,False,False,False,False,False,False,True,False,0
6.9,9.145,144,6.5,False,False,False,True,False,False,False,False,False,0
7.1,20.851,3005,6.9,False,False,False,False,False,False,False,False,True,1
7.1,6.52,63,6.5,True,False,False,False,False,False,False,False,False,0
6.5,3.639,32,5.8,False,False,False,False,False,False,True,False,False,0
8.6,55.887,13162,8.448,False,False,False,False,False,False,True,False,False,0
7.6,10.635,637,7.3,False,False,False,True,False,False,False,False,False,1
7.8,41.875,6878,7.597,False,False,False,False,True,False,False,False,False,0
8.3,29.384,2631,7.992,False,False,False,True,False,False,False,False,False,0
7.4,17.956,1168,7.056,False,False,False,False,True,False,False,False,False,0
8.0,8.041,110,7.005,False,False,False,False,False,False,True,False,False,0
7.5,9.717,263,7.243,False,False,False,True,False,False,False,False,False,0
8.4,17.546,1432,8.211,False,False,False,False,True,False,False,False,False,0
8.0,74.069,18212,7.532,False,False,False,False,True,False,False,False,False,1
